"common_name","scientific_name","migration","garnett_movement","feeding_guild","trophic_level","primary_lifestyle","foraging_stratum","habitat_breadth","iucn_status","epbc_status","nsw_status","botw_seasonal_codes"
"Red-winged Parrot","Aprosmictus erythropterus","Sedentary","sedentary","Omnivore","Herbivore","Insessorial","understory",5,"LC","not listed","not listed","1"
"Budgerigar","Melopsittacus undulatus","Partial migrant","nomadic;irruptive","Granivore","Herbivore","Generalist","ground",8,"LC","not listed","not listed","1"
"Pacific Baza","Aviceda subcristata","Sedentary","local dispersal;partial migrant","Omnivore","Carnivore","Insessorial","canopy",6,"LC","not listed","not listed","1"
"Curlew Sandpiper","Calidris ferruginea","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","around-water",3,"VU","CR","EN","2;3;4"
"Flame Robin","Petroica phoenicea","Migratory","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","ground",3,"LC","not listed","VU","1;3"
"Stubble Quail","Coturnix pectoralis","Sedentary","local dispersal;nomadic;irruptive","Granivore","Herbivore","Terrestrial","ground",3,"LC","not listed","not listed","1;3"
"Hooded Robin","Melanodryas cucullata","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","ground",2,"LC","EN","VU","1"
"Australian Crake","Porzana fluminea","Partial migrant","local dispersal;nomadic;irruptive","Aquatic predator","Carnivore","Terrestrial","around-water",3,"LC","not listed","not listed","1"
"Pale-yellow Robin","Eopsaltria capito","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","ground",1,"LC","not listed","not listed","1"
"Splendid Fairywren","Malurus splendens","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",6,"LC","not listed","not listed","1"
"Whiskered Tern","Chlidonias hybrida","Migratory","total migrant","Aquatic predator","Carnivore","Aerial","around-water",4,"LC","not listed","not listed","1;2;3"
"Lewin's Rail","Lewinia pectoralis","Sedentary","local dispersal;nomadic","Aquatic predator","Carnivore","Terrestrial","around-water",6,"LC","EX","not listed","1"
"Mulga Parrot","Psephotellus varius","Sedentary","local dispersal","Granivore","Herbivore","Generalist","understory",3,"LC","not listed","not listed","1"
"Red Knot","Calidris canutus","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","ground",3,"NT","not listed","not listed","2;3;4"
"Wandering Whistling-Duck","Dendrocygna arcuata","Partial migrant","total migrant","Herbivore aquatic","Herbivore","Aquatic","below-water",2,"LC","not listed","not listed","1"
"Baillon's Crake","Zapornia pusilla","Migratory","local dispersal;partial migrant","Aquatic predator","Carnivore","Terrestrial","around-water",3,"LC","not listed","not listed","1;2;3;4"
"Black-tailed Nativehen","Tribonyx ventralis","Partial migrant","nomadic;irruptive","Omnivore","Herbivore","Terrestrial",NA,5,"LC","not listed","not listed","1"
"Comb-crested Jacana","Irediparra gallinacea","Sedentary","local dispersal;nomadic","Aquatic predator","Omnivore","Terrestrial","around-water",2,"LC","not listed","VU","1"
"Muscovy Duck","Cairina moschata","Sedentary",NA,"Omnivore","Omnivore","Generalist","around-water",3,"LC","not listed","not listed","1"
"Eastern Bristlebird","Dasyornis brachypterus","Sedentary","local dispersal","Omnivore","Omnivore","Insessorial","ground",3,"VU","EN","EN","1"
"Freckled Duck","Stictonetta naevosa","Partial migrant","nomadic;irruptive","Herbivore aquatic","Herbivore","Generalist","around-water",2,"LC","not listed","VU","1"
"Eurasian Skylark","Alauda arvensis","Partial migrant","local dispersal","Omnivore","Omnivore","Terrestrial","ground",5,"LC","not listed","not listed","1;2;3;4"
"Beautiful Firetail","Stagonopleura bella","Sedentary","local dispersal","Granivore","Herbivore","Generalist","ground",2,"LC","not listed","not listed","1"
"Spotted Bowerbird","Chlamydera maculata","Sedentary","local dispersal","Omnivore","Herbivore","Insessorial","ground",2,"LC","not listed","not listed","1"
"Black-faced Woodswallow","Artamus cinereus","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Aerial","aerial",6,"LC","not listed","not listed","1"
"Pilotbird","Pycnoptilus floccosus","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",1,"VU","not listed","not listed","1"
"Tawny-crowned Honeyeater","Gliciphila melanops","Sedentary","local dispersal;nomadic","Nectarivore","Omnivore","Insessorial","understory",4,"LC","not listed","not listed","1"
"Turquoise Parrot","Neophema pulchella","Sedentary","local dispersal","Omnivore","Herbivore","Insessorial","understory",5,"LC","not listed","VU","1"
"Little Crow","Corvus bennetti","Sedentary","nomadic","Omnivore","Omnivore","Generalist","ground",7,"LC","not listed","not listed","1"
"Black-browed Albatross","Thalassarche melanophris","Partial migrant","total migrant","Aquatic predator","Carnivore","Aquatic","pelagic",3,"LC","VU","VU","1;2"
"Forest Kingfisher","Todiramphus macleayii","Migratory","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","ground",5,"LC","not listed","not listed","1;2;3"
"Russet-tailed Thrush","Zoothera heinei","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Terrestrial","ground",2,"LC","not listed","not listed","1"
"Black-necked Stork","Ephippiorhynchus asiaticus","Sedentary","local dispersal","Aquatic predator","Carnivore","Terrestrial","around-water",6,"NT","not listed","EN","1"
