"common_name","scientific_name","migration","garnett_movement","feeding_guild","trophic_level","primary_lifestyle","foraging_stratum","habitat_breadth","iucn_status","epbc_status","nsw_status","botw_seasonal_codes"
"Red-tailed Tropicbird","Phaethon rubricauda","Migratory","total migrant","Aquatic predator","Carnivore","Aerial","pelagic",2,"LC","not listed","VU","2;3"
"Red Junglefowl","Gallus gallus","Sedentary","local dispersal","Omnivore","Herbivore","Terrestrial","ground",6,"LC","not listed","not listed","1;2;3"
"Masked Booby","Sula dactylatra","Partial migrant","total migrant","Aquatic predator","Carnivore","Aerial","pelagic",3,"LC","not listed","VU","1;2;4"
"Barred Cuckooshrike","Coracina lineata","Sedentary","local dispersal;partial migrant","Frugivore","Herbivore","Insessorial","canopy",2,"LC","not listed","VU","1"
"Ground Cuckooshrike","Coracina maxima","Sedentary","local dispersal;nomadic","Invertivore","Carnivore","Terrestrial","ground",3,"LC","not listed","not listed","1"
"Mangrove Honeyeater","Gavicalis fasciogularis","Sedentary","local dispersal","Omnivore","Omnivore","Insessorial","understory",4,"LC","not listed","VU","1"
"Sooty Shearwater","Ardenna grisea","Migratory","total migrant","Aquatic predator","Carnivore","Generalist","pelagic",4,"NT","not listed","not listed","1;2;3"
"Black-winged Petrel","Pterodroma nigripennis","Partial migrant","total migrant","Aquatic predator","Carnivore","Generalist","pelagic",2,"LC","not listed","VU","1;2"
"Indian Yellow-nosed Albatross","Thalassarche carteri","Migratory","total migrant","Aquatic predator","Carnivore","Aquatic","pelagic",2,"EN","VU","not listed","1;2"
"Regent Parrot","Polytelis anthopeplus","Partial migrant","local dispersal;partial migrant","Omnivore","Herbivore","Insessorial","understory",4,"LC","VU","EN","1"
"Spotted Nightjar","Eurostopodus argus","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Aerial","understory",5,"LC","not listed","not listed","1;3"
"Chestnut-breasted Quail-thrush","Cinclosoma castaneothorax","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",1,"LC","not listed","not listed","1"
"Hudsonian Godwit","Limosa haemastica","Migratory",NA,"Aquatic predator","Carnivore","Terrestrial","around-water",5,"VU","not listed","not listed","2;3;4"
"Superb Fruit-Dove","Ptilinopus superbus","Sedentary","local dispersal;partial migrant","Frugivore","Herbivore","Insessorial","mid-high",3,"LC","not listed","VU","1"
"Little Penguin","Eudyptula minor","Partial migrant","local dispersal","Aquatic predator","Carnivore","Aquatic","pelagic",3,"LC","not listed","EN (population)","1;2;3"
"Hutton's Shearwater","Puffinus huttoni","Partial migrant","total migrant","Aquatic predator","Carnivore","Generalist","pelagic",3,"EN","not listed","not listed","1;2;4"
"Little Woodswallow","Artamus minor","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Aerial","aerial",4,"LC","not listed","not listed","1"
"Red-browed Pardalote","Pardalotus rubricatus","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","canopy",2,"LC","not listed","not listed","1"
"Cinnamon Quail-thrush","Cinclosoma cinnamomeum","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",3,"LC","not listed","not listed","1"
"Australasian Grass-Owl","Tyto longimembris","Sedentary","local dispersal;nomadic;irruptive","Vertivore","Carnivore","Aerial","ground",5,"LC","not listed","VU","1"
"Brown Skua","Stercorarius antarcticus","Migratory","local dispersal;partial migrant","Aquatic predator","Carnivore","Aerial","pelagic",1,"LC","not listed","not listed",NA
"Black-breasted Kite","Hamirostra melanosternon","Partial migrant","local dispersal;partial migrant","Vertivore","Carnivore","Aerial","ground",5,"LC","not listed","VU","1"
"Black-faced Cormorant","Phalacrocorax fuscescens","Sedentary","local dispersal","Aquatic predator","Carnivore","Aquatic","pelagic",3,"LC","not listed","not listed","1"
"Marbled Frogmouth","Podargus ocellatus","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","ground",1,"LC","not listed","VU","1"
"Gray Noddy","Anous albivitta","Partial migrant",NA,"Aquatic predator","Carnivore","Aerial",NA,3,"LC",NA,NA,NA
"European Greenfinch","Chloris chloris","Sedentary","local dispersal;nomadic","Granivore","Herbivore","Generalist","ground",4,"LC","not listed","not listed","1;2;3"
"Flock Bronzewing","Phaps histrionica","Sedentary","nomadic;irruptive","Granivore","Herbivore","Terrestrial","ground",2,"LC","not listed","EN","1"
"Inland Dotterel","Peltohyas australis","Partial migrant","nomadic","Omnivore","Herbivore","Terrestrial","ground",4,"LC","not listed","not listed","1;5"
"Radjah Shelduck","Radjah radjah","Partial migrant","local dispersal;nomadic","Aquatic predator","Carnivore","Terrestrial","ground",2,"LC","not listed","not listed","1"
"Gray-faced Petrel","Pterodroma gouldi","Partial migrant","total migrant","Aquatic predator","Carnivore","Generalist",NA,1,"LC","not listed","not listed","1;2"
"Rose-ringed Parakeet","Psittacula krameri","Sedentary",NA,"Omnivore","Herbivore","Insessorial","ground",7,"LC","not listed","not listed",NA
"South Island Oystercatcher","Haematopus finschi","Sedentary",NA,"Aquatic predator","Carnivore","Terrestrial","ground",5,"LC",NA,NA,"2;3"
"Common Ostrich","Struthio camelus","Sedentary","local dispersal","Omnivore","Herbivore","Terrestrial","ground",4,"LC","not listed","not listed","1"
"Striated Fieldwren","Calamanthus fuliginosus","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",1,"LC","not listed","EN","1"
"Eastern Yellow Wagtail","Motacilla tschutschensis","Migratory",NA,"Invertivore","Carnivore","Terrestrial",NA,4,"LC",NA,NA,"2;3;4"
"Rufous Fieldwren","Calamanthus campestris","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",3,"LC","not listed","VU","1"
"Little Curlew","Numenius minutus","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","ground",6,"LC","not listed","not listed","2;3;4"
"Banded Stilt","Cladorhynchus leucocephalus","Sedentary","nomadic","Aquatic predator","Carnivore","Terrestrial","around-water",2,"LC","not listed","not listed","1;5"
"Blue-winged Parrot","Neophema chrysostoma","Sedentary","partial migrant","Granivore","Herbivore","Terrestrial","ground",5,"VU","not listed","not listed","1;3"
"Buff-breasted Sandpiper","Calidris subruficollis","Migratory",NA,"Omnivore","Carnivore","Terrestrial","ground",2,"VU","not listed","not listed","2;3;4"
"Fairy Prion","Pachyptila turtur","Partial migrant","total migrant","Aquatic predator","Carnivore","Generalist","pelagic",4,"LC","VU","not listed","1;2"
"Asian Dowitcher","Limnodromus semipalmatus","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","around-water",5,"NT","not listed","not listed","2;3;4"
"Ruff","Calidris pugnax","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","ground",6,"LC","not listed","not listed","2;3"
"Gull-billed Tern","Gelochelidon nilotica","Migratory","total migrant","Omnivore","Carnivore","Aerial","pelagic",6,"LC","not listed","not listed","1;2;3;4"
"Australian Bustard","Ardeotis australis","Sedentary","partial migrant;nomadic","Omnivore","Omnivore","Terrestrial","ground",5,"LC","not listed","EN","1"
"Dusky Myzomela","Myzomela obscura","Sedentary","local dispersal","Nectarivore","Herbivore","Insessorial","mid-high",6,"LC","not listed","not listed","1"
"Red-lored Whistler","Pachycephala rufogularis","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","ground",1,"VU","VU","CR","1"
"Red-backed Buttonquail","Turnix maculosus","Sedentary",NA,"Omnivore","Omnivore","Terrestrial","ground",3,"LC",NA,NA,"1"
"Streaked Shearwater","Calonectris leucomelas","Migratory","total migrant","Aquatic predator","Carnivore","Generalist","pelagic",2,"NT","not listed","not listed","1;2"
"Hall's Babbler","Pomatostomus halli","Sedentary","local dispersal","Invertivore","Carnivore","Generalist","ground",1,"LC","not listed","VU","1"
"Song Thrush","Turdus philomelos","Migratory","local dispersal","Invertivore","Omnivore","Generalist","ground",6,"LC","not listed","not listed","1;2;3"
"Kentish Plover","Anarhynchus alexandrinus","Partial migrant",NA,"Aquatic predator","Carnivore","Terrestrial","ground",3,"LC","not listed","not listed",NA
"Red-chested Buttonquail","Turnix pyrrhothorax","Sedentary","nomadic","Omnivore","Omnivore","Terrestrial","ground",5,"LC","not listed","not listed","1"
"Broad-billed Sandpiper","Calidris falcinellus","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","ground",3,"VU","not listed","VU","2;3;4"
"Northern Giant-Petrel","Macronectes halli","Partial migrant","local dispersal;partial migrant","Omnivore","Omnivore","Generalist","pelagic",2,"LC","VU","VU","1"
"Paradise Shelduck","Tadorna variegata","Partial migrant",NA,"Omnivore","Herbivore","Terrestrial","ground",5,"LC","not listed","not listed","1"
"Oriental Cuckoo","Cuculus optatus","Migratory","total migrant","Invertivore","Carnivore","Insessorial","mid-high",6,"LC","not listed","not listed","2;3;4"
"Providence Petrel","Pterodroma solandri","Partial migrant","total migrant","Aquatic predator","Carnivore","Aerial","pelagic",3,"LC","not listed","VU","2;3"
"Striated Grasswren","Amytornis striatus","Sedentary","local dispersal","Omnivore","Omnivore","Terrestrial","ground",3,"LC","not listed","VU","1"
"Shining Flycatcher","Myiagra alecto","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","mid-high",5,"LC","not listed","not listed","1"
"Gibberbird","Ashbyia lovensis","Partial migrant","local dispersal;nomadic","Invertivore","Carnivore","Terrestrial","ground",3,"LC","not listed","not listed","1;3"
"Long-tailed Jaeger","Stercorarius longicaudus","Migratory","total migrant","Aquatic predator","Carnivore","Aerial","ground",2,"LC","not listed","not listed","2;3"
"Alexandrine Parakeet","Psittacula eupatria","Sedentary",NA,"Omnivore","Herbivore","Insessorial","understory",4,"NT",NA,NA,NA
"Eurasian Tree Sparrow","Passer montanus","Sedentary","local dispersal","Granivore","Omnivore","Terrestrial","ground",3,"LC","not listed","not listed","1;2;3"
"Cotton Pygmy-Goose","Nettapus coromandelianus","Sedentary","local dispersal;nomadic","Herbivore aquatic","Herbivore","Aquatic","around-water",3,"LC","not listed","EN","1;2"
"Buller's Albatross","Thalassarche bulleri","Partial migrant","total migrant","Aquatic predator","Carnivore","Aquatic","pelagic",3,"NT","VU","not listed","1;2"
"White-rumped Sandpiper","Calidris fuscicollis","Migratory",NA,"Aquatic predator","Carnivore","Terrestrial","ground",5,"VU","not listed","not listed","2;3;4"
"Purple-crowned Lorikeet","Psitteuteles porphyrocephalus","Sedentary","nomadic","Nectarivore","Herbivore","Insessorial","mid-high",4,"LC","not listed","VU","1"
"Brown Booby","Sula leucogaster","Partial migrant","total migrant","Aquatic predator","Carnivore","Aerial","pelagic",3,"LC","not listed","not listed","1;2;3"
"Lesser Frigatebird","Fregata ariel","Migratory","sedentary","Aquatic predator","Carnivore","Aerial","pelagic",2,"LC","not listed","not listed","1;2"
"Southern Giant-Petrel","Macronectes giganteus","Partial migrant","local dispersal;partial migrant","Omnivore","Omnivore","Generalist","pelagic",3,"LC","EN","EN","1;2"
"Slaty-backed Thornbill","Acanthiza robustirostris","Partial migrant","local dispersal","Invertivore","Carnivore","Insessorial","understory",2,"LC","not listed","not listed","1"
"Pink Robin","Petroica rodinogaster","Partial migrant","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","ground",2,"LC","not listed","VU","1;2;3"
"Malleefowl","Leipoa ocellata","Sedentary","local dispersal","Omnivore","Herbivore","Terrestrial","ground",3,"VU","VU","EN","1"
"Buller's Shearwater","Ardenna bulleri","Migratory","total migrant","Aquatic predator","Carnivore","Aquatic","pelagic",4,"VU","not listed","not listed","1;2"
"Banded Whiteface","Aphelocephala nigricincta","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",3,"LC","not listed","not listed","1"
"Gray-headed Lapwing","Vanellus cinereus","Migratory",NA,"Aquatic predator","Carnivore","Terrestrial","ground",4,"LC","not listed","not listed","1;2;3;4"
"Long-toed Stint","Calidris subminuta","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","around-water",3,"LC","not listed","not listed","2;3;4"
"Eyrean Grasswren","Amytornis goyderi","Sedentary","local dispersal","Granivore","Omnivore","Terrestrial","ground",1,"LC","not listed","not listed","1"
"Little Shearwater","Puffinus assimilis","Partial migrant","local dispersal","Aquatic predator","Carnivore","Generalist","pelagic",4,"LC","not listed","VU","1;2"
"Semipalmated Plover","Charadrius semipalmatus","Migratory",NA,"Aquatic predator","Carnivore","Terrestrial","ground",3,"LC","not listed","not listed","2;3;4"
"Citrine Wagtail","Motacilla citreola","Migratory",NA,"Aquatic predator","Carnivore","Terrestrial","ground",6,"LC","not listed","not listed","1;2;3;4"
"Gray Falcon","Falco hypoleucos","Partial migrant","local dispersal;nomadic","Vertivore","Carnivore","Aerial","ground",4,"VU","not listed","EN","1"
"Gray Grasswren","Amytornis barbatus","Sedentary","local dispersal","Omnivore","Omnivore","Generalist","ground",3,"LC","EN","EN","1"
"Barn Swallow","Hirundo rustica","Migratory","total migrant","Invertivore","Carnivore","Aerial","mid-high",6,"LC","not listed","not listed","1;2;3;4"
"Little Stint","Calidris minuta","Migratory",NA,"Aquatic predator","Carnivore","Terrestrial","around-water",3,"LC","not listed","not listed","2;3;4"
"Oriental Plover","Anarhynchus veredus","Migratory","total migrant","Omnivore","Carnivore","Terrestrial","ground",4,"LC","not listed","not listed",NA
"Red-necked Phalarope","Phalaropus lobatus","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","around-water",3,"LC","not listed","not listed","2;3;4"
"Letter-winged Kite","Elanus scriptus","Partial migrant","nomadic;irruptive","Vertivore","Carnivore","Aerial","ground",4,"NT","not listed","not listed","1;3"
"White-necked Petrel","Pterodroma cervicalis","Partial migrant","total migrant","Aquatic predator","Carnivore","Generalist","pelagic",2,"VU","not listed","not listed","1;2"
"Oriental Pratincole","Glareola maldivarum","Migratory","irruptive","Invertivore","Carnivore","Aerial","ground",4,"LC","not listed","not listed","1;2;3;4"
"Torresian Imperial-Pigeon","Ducula spilorrhoa","Sedentary","local dispersal;partial migrant","Frugivore","Herbivore","Insessorial","mid-high",3,"LC","not listed","not listed","1"
"Wilson's Storm-Petrel","Oceanites oceanicus","Migratory","total migrant","Aquatic predator","Carnivore","Aerial","pelagic",2,"LC","not listed","not listed","2;3;4"
"Gould's Petrel","Pterodroma leucoptera","Partial migrant","total migrant","Aquatic predator","Carnivore","Generalist","pelagic",2,"VU","EN","VU","1;2"
"White-chinned Petrel","Procellaria aequinoctialis","Migratory","total migrant","Aquatic predator","Carnivore","Aquatic","pelagic",2,"VU","not listed","not listed","1;2"
"Squatter Pigeon","Geophaps scripta","Partial migrant","local dispersal","Granivore","Herbivore","Terrestrial","ground",2,"LC","VU","EN","1"
"Antipodean Albatross","Diomedea antipodensis","Partial migrant","total migrant","Aquatic predator","Carnivore","Aquatic","pelagic",2,"EN","VU","VU","1;2"
"Lesser Yellowlegs","Tringa flavipes","Migratory",NA,"Aquatic predator","Carnivore","Terrestrial","around-water",5,"VU","not listed","not listed","2;3;4"
"Common Diving-Petrel","Pelecanoides urinatrix","Partial migrant","local dispersal","Aquatic predator","Carnivore","Aquatic","pelagic",3,"LC","not listed","not listed","1;2"
"Papuan Eclectus","Eclectus polychloros","Sedentary",NA,"Omnivore","Herbivore","Insessorial",NA,4,"LC",NA,NA,"1"
"Thick-billed Grasswren","Amytornis modestus","Sedentary","local dispersal","Omnivore","Omnivore","Generalist","ground",2,"LC","CR","CR","1"
"Arctic Tern","Sterna paradisaea","Migratory",NA,"Aquatic predator","Carnivore","Aerial","around-water",4,"LC","not listed","not listed","2;3;4"
"Kermadec Petrel","Pterodroma neglecta","Partial migrant","total migrant","Aquatic predator","Carnivore","Generalist","pelagic",2,"LC","VU","VU","1;2"
"Great Frigatebird","Fregata minor","Migratory","sedentary","Aquatic predator","Carnivore","Aerial","pelagic",2,"LC","not listed","not listed","2;3"
"Princess Parrot","Polytelis alexandrae","Partial migrant","nomadic","Granivore","Herbivore","Insessorial","understory",5,"NT","VU","not listed","1"
"Rosy-faced Lovebird","Agapornis roseicollis","Sedentary",NA,"Granivore","Herbivore","Terrestrial","ground",4,"LC",NA,NA,"1"
"White-faced Storm-Petrel","Pelagodroma marina","Migratory","total migrant","Aquatic predator","Carnivore","Aerial","pelagic",3,"LC","not listed","not listed","1;2"
"African Collared-Dove","Streptopelia roseogrisea","Sedentary","local dispersal","Granivore","Herbivore","Terrestrial","ground",3,"LC","not listed","not listed","1;2"
"Blue-and-yellow Macaw","Ara ararauna","Sedentary",NA,"Omnivore","Herbivore","Insessorial","mid-high",4,"LC",NA,NA,"1"
"Roseate Tern","Sterna dougallii","Migratory","partial migrant;total migrant","Aquatic predator","Carnivore","Aerial","pelagic",3,"LC","not listed","not listed","1;2;3"
"Mandarin Duck","Aix galericulata","Migratory",NA,"Herbivore aquatic","Herbivore","Generalist","around-water",3,"LC",NA,NA,"1;2;3"
"Northern Shoveler","Spatula clypeata","Migratory",NA,"Aquatic predator","Omnivore","Aquatic","around-water",4,"LC","not listed","not listed","1;2;3;4;5"
"White-bellied Storm-Petrel","Fregetta grallaria","Migratory","total migrant","Aquatic predator","Carnivore","Aerial","pelagic",2,"LC","VU","VU","1;2"
"Red-and-green Macaw","Ara chloropterus","Sedentary",NA,"Omnivore","Herbivore","Insessorial","mid-high",4,"LC",NA,NA,"1"
"Snowy Albatross","Diomedea exulans","Partial migrant","total migrant","Aquatic predator","Carnivore","Aquatic","pelagic",2,"VU","VU","EN","1;2"
"White-headed Petrel","Pterodroma lessonii","Partial migrant","total migrant","Aquatic predator","Carnivore","Generalist","pelagic",4,"LC","not listed","not listed","1;2"
"Canada Goose","Branta canadensis","Migratory",NA,"Herbivore terrestrial","Herbivore","Terrestrial","ground",8,"LC","not listed","not listed","1;2;3;4"
"Cape Barren Goose","Cereopsis novaehollandiae","Partial migrant","local dispersal;partial migrant","Herbivore terrestrial","Herbivore","Terrestrial","ground",5,"LC","VU","not listed","1"
"Common Redshank","Tringa totanus","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","around-water",5,"LC","not listed","not listed","1;2;3;4"
"Great Bowerbird","Chlamydera nuchalis","Sedentary","local dispersal","Omnivore","Herbivore","Insessorial","understory",2,"LC","not listed","not listed","1"
"Little Ringed Plover","Thinornis dubius","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","ground",5,"LC","not listed","not listed",NA
"Painted Firetail","Emblema pictum","Sedentary","nomadic","Granivore","Herbivore","Generalist","ground",6,"LC","not listed","not listed","1"
"Pied Heron","Egretta picata","Sedentary","local dispersal;partial migrant","Aquatic predator","Carnivore","Terrestrial","around-water",3,"LC","not listed","not listed","2;3;4"
"Red-footed Booby","Sula sula","Partial migrant","total migrant","Aquatic predator","Carnivore","Aerial","pelagic",2,"LC","not listed","not listed","1;2;4"
"White-tailed Tropicbird","Phaethon lepturus","Migratory","total migrant","Aquatic predator","Carnivore","Aerial","pelagic",2,"LC","EN","not listed","2;3;4"
"American Golden-Plover","Pluvialis dominica","Migratory",NA,"Invertivore","Carnivore","Terrestrial","ground",4,"LC",NA,NA,"2;3;4"
"Bulwer's Petrel","Bulweria bulwerii","Partial migrant","total migrant","Aquatic predator","Carnivore","Aquatic","pelagic",2,"LC","not listed","not listed","1;2"
"Gouldian Finch","Chloebia gouldiae","Sedentary","local dispersal;partial migrant","Granivore","Herbivore","Generalist","understory",6,"LC","EN","not listed","1"
"Mute Swan","Cygnus olor","Migratory","local dispersal","Herbivore aquatic","Herbivore","Aquatic","around-water",4,"LC","not listed","not listed","1;2;3"
"Northern Pintail","Anas acuta","Migratory",NA,"Herbivore aquatic","Herbivore","Aquatic","around-water",5,"LC","not listed","not listed","2;3;4"
"Pintado Petrel","Daption capense","Partial migrant","total migrant","Aquatic predator","Carnivore","Generalist","pelagic",2,"LC","not listed","not listed","1;2"
"Southern Fulmar","Fulmarus glacialoides","Migratory","total migrant","Aquatic predator","Carnivore","Aquatic","pelagic",2,"LC","not listed","not listed","1;2"
"White Wagtail","Motacilla alba","Migratory",NA,"Invertivore","Carnivore","Terrestrial","ground",4,"LC","not listed","not listed","1;2;3"
"Black-fronted Tern","Chlidonias albostriatus","Partial migrant",NA,"Aquatic predator","Carnivore","Aerial","below-water",3,"EN",NA,NA,"1;3;4"
"Black-headed Parrot","Pionites melanocephalus","Sedentary",NA,"Granivore","Herbivore","Insessorial","understory",2,"LC",NA,NA,"1"
"Bridled Tern","Onychoprion anaethetus","Partial migrant","total migrant","Aquatic predator","Carnivore","Aerial","pelagic",2,"LC","not listed","not listed","2;3"
"California Quail","Callipepla californica","Sedentary","local dispersal","Omnivore","Herbivore","Terrestrial","ground",5,"LC","not listed","not listed","1"
"Garganey","Spatula querquedula","Migratory","total migrant","Herbivore aquatic","Omnivore","Aquatic","below-water",3,"LC","not listed","not listed","2;3;4"
"Golden Pheasant","Chrysolophus pictus","Sedentary",NA,"Herbivore terrestrial","Herbivore","Terrestrial","ground",5,"LC",NA,NA,"1"
"Gray Parrot","Psittacus erithacus","Sedentary",NA,"Omnivore","Herbivore","Insessorial","canopy",6,"EN",NA,NA,"1"
"Green Sandpiper","Tringa ochropus","Migratory",NA,"Aquatic predator","Carnivore","Terrestrial","around-water",5,"LC","not listed","not listed","2;3;4"
"House Crow","Corvus splendens","Sedentary",NA,"Omnivore","Omnivore","Terrestrial","ground",4,"LC","not listed","not listed","1"
"Monk Parakeet","Myiopsitta monachus","Sedentary",NA,"Omnivore","Herbivore","Insessorial","mid-high",3,"LC",NA,NA,"1"
"Redpoll","Acanthis flammea","Partial migrant","local dispersal;nomadic","Granivore","Herbivore","Generalist",NA,11,"LC","not listed","not listed","1;2;3;4"
"Ruddy Shelduck","Tadorna ferruginea","Partial migrant",NA,"Omnivore","Omnivore","Terrestrial","around-water",4,"LC",NA,NA,"1;2;3"
"Scarlet-chested Parrot","Neophema splendida","Sedentary","nomadic","Granivore","Herbivore","Terrestrial","understory",3,"LC","not listed","VU","1"
"Westland Petrel","Procellaria westlandica","Migratory","total migrant","Aquatic predator","Carnivore","Aquatic","pelagic",2,"EN","not listed","not listed","1;2"
"Wild Turkey","Meleagris gallopavo","Sedentary","local dispersal","Omnivore","Herbivore","Terrestrial","ground",4,"LC","not listed","not listed","1"
"Yellow Canary","Crithagra flaviventris","Sedentary",NA,"Omnivore","Herbivore","Insessorial","ground",2,"LC",NA,NA,"1"
"Yellow Chat","Epthianura crocea","Sedentary","local dispersal;nomadic","Invertivore","Carnivore","Generalist","ground",4,"LC","CR","not listed","1"
"Yellow-collared Lovebird","Agapornis personatus","Sedentary",NA,"Granivore","Herbivore","Terrestrial","ground",1,"LC",NA,NA,"1"
