"common_name","scientific_name","botw_seasonal_codes","migratory_status"
"Eastern Yellow Wagtail","Motacilla tschutschensis","2;3;4","migrant"
"Rufous Fieldwren","Calamanthus campestris","1","resident"
"Little Curlew","Numenius minutus","2;3;4","migrant"
"Banded Stilt","Cladorhynchus leucocephalus","1;5","resident"
"Blue-winged Parrot","Neophema chrysostoma","1;3","migrant"
"Buff-breasted Sandpiper","Calidris subruficollis","2;3;4","migrant"
"Fairy Prion","Pachyptila turtur","1;2","migrant"
"Asian Dowitcher","Limnodromus semipalmatus","2;3;4","migrant"
"Ruff","Calidris pugnax","2;3","migrant"
"Gull-billed Tern","Gelochelidon nilotica","1;2;3;4","migrant"
"Australian Bustard","Ardeotis australis","1","resident"
"Dusky Myzomela","Myzomela obscura","1","resident"
"Red-lored Whistler","Pachycephala rufogularis","1","resident"
"Red-backed Buttonquail","Turnix maculosus","1","resident"
"Streaked Shearwater","Calonectris leucomelas","1;2","migrant"
"Hall's Babbler","Pomatostomus halli","1","resident"
"Song Thrush","Turdus philomelos","1;2;3","migrant"
"Kentish Plover","Anarhynchus alexandrinus",NA,"unknown"
"Red-chested Buttonquail","Turnix pyrrhothorax","1","resident"
"Broad-billed Sandpiper","Calidris falcinellus","2;3;4","migrant"
"Northern Giant-Petrel","Macronectes halli","1","resident"
"Paradise Shelduck","Tadorna variegata","1","resident"
"Oriental Cuckoo","Cuculus optatus","2;3;4","migrant"
"Providence Petrel","Pterodroma solandri","2;3","migrant"
"Striated Grasswren","Amytornis striatus","1","resident"
"Shining Flycatcher","Myiagra alecto","1","resident"
"Gibberbird","Ashbyia lovensis","1;3","migrant"
"Long-tailed Jaeger","Stercorarius longicaudus","2;3","migrant"
"Alexandrine Parakeet","Psittacula eupatria",NA,"unknown"
"Eurasian Tree Sparrow","Passer montanus","1;2;3","migrant"
"Cotton Pygmy-Goose","Nettapus coromandelianus","1;2","migrant"
"Buller's Albatross","Thalassarche bulleri","1;2","migrant"
"White-rumped Sandpiper","Calidris fuscicollis","2;3;4","migrant"
"Purple-crowned Lorikeet","Psitteuteles porphyrocephalus","1","resident"
"Brown Booby","Sula leucogaster","1;2;3","migrant"
"Lesser Frigatebird","Fregata ariel","1;2","migrant"
"Southern Giant-Petrel","Macronectes giganteus","1;2","migrant"
"Slaty-backed Thornbill","Acanthiza robustirostris","1","resident"
"Pink Robin","Petroica rodinogaster","1;2;3","migrant"
"Malleefowl","Leipoa ocellata","1","resident"
"Buller's Shearwater","Ardenna bulleri","1;2","migrant"
"Banded Whiteface","Aphelocephala nigricincta","1","resident"
"Gray-headed Lapwing","Vanellus cinereus","1;2;3;4","migrant"
"Long-toed Stint","Calidris subminuta","2;3;4","migrant"
"Eyrean Grasswren","Amytornis goyderi","1","resident"
"Little Shearwater","Puffinus assimilis","1;2","migrant"
"Semipalmated Plover","Charadrius semipalmatus","2;3;4","migrant"
"Citrine Wagtail","Motacilla citreola","1;2;3;4","migrant"
"Gray Falcon","Falco hypoleucos","1","resident"
"Gray Grasswren","Amytornis barbatus","1","resident"
"Barn Swallow","Hirundo rustica","1;2;3;4","migrant"
"Little Stint","Calidris minuta","2;3;4","migrant"
"Oriental Plover","Anarhynchus veredus",NA,"unknown"
"Red-necked Phalarope","Phalaropus lobatus","2;3;4","migrant"
"Letter-winged Kite","Elanus scriptus","1;3","migrant"
"White-necked Petrel","Pterodroma cervicalis","1;2","migrant"
"Oriental Pratincole","Glareola maldivarum","1;2;3;4","migrant"
"Torresian Imperial-Pigeon","Ducula spilorrhoa","1","resident"
"Wilson's Storm-Petrel","Oceanites oceanicus","2;3;4","migrant"
"Gould's Petrel","Pterodroma leucoptera","1;2","migrant"
"White-chinned Petrel","Procellaria aequinoctialis","1;2","migrant"
"Squatter Pigeon","Geophaps scripta","1","resident"
"Antipodean Albatross","Diomedea antipodensis","1;2","migrant"
"Lesser Yellowlegs","Tringa flavipes","2;3;4","migrant"
"Common Diving-Petrel","Pelecanoides urinatrix","1;2","migrant"
"Papuan Eclectus","Eclectus polychloros","1","resident"
"Thick-billed Grasswren","Amytornis modestus","1","resident"
"Arctic Tern","Sterna paradisaea","2;3;4","migrant"
"Kermadec Petrel","Pterodroma neglecta","1;2","migrant"
"Great Frigatebird","Fregata minor","2;3","migrant"
"Princess Parrot","Polytelis alexandrae","1","resident"
"Rosy-faced Lovebird","Agapornis roseicollis","1","resident"
"White-faced Storm-Petrel","Pelagodroma marina","1;2","migrant"
"African Collared-Dove","Streptopelia roseogrisea","1;2","migrant"
"Blue-and-yellow Macaw","Ara ararauna","1","resident"
"Roseate Tern","Sterna dougallii","1;2;3","migrant"
"Mandarin Duck","Aix galericulata","1;2;3","migrant"
"Northern Shoveler","Spatula clypeata","1;2;3;4;5","migrant"
"White-bellied Storm-Petrel","Fregetta grallaria","1;2","migrant"
"Red-and-green Macaw","Ara chloropterus","1","resident"
"Snowy Albatross","Diomedea exulans","1;2","migrant"
"White-headed Petrel","Pterodroma lessonii","1;2","migrant"
"Canada Goose","Branta canadensis","1;2;3;4","migrant"
"Cape Barren Goose","Cereopsis novaehollandiae","1","resident"
"Common Redshank","Tringa totanus","1;2;3;4","migrant"
"Great Bowerbird","Chlamydera nuchalis","1","resident"
"Little Ringed Plover","Thinornis dubius",NA,"unknown"
"Painted Firetail","Emblema pictum","1","resident"
"Pied Heron","Egretta picata","2;3;4","migrant"
"Red-footed Booby","Sula sula","1;2;4","migrant"
"White-tailed Tropicbird","Phaethon lepturus","2;3;4","migrant"
"American Golden-Plover","Pluvialis dominica","2;3;4","migrant"
"Bulwer's Petrel","Bulweria bulwerii","1;2","migrant"
"Gouldian Finch","Chloebia gouldiae","1","resident"
"Mute Swan","Cygnus olor","1;2;3","migrant"
"Northern Pintail","Anas acuta","2;3;4","migrant"
"Pintado Petrel","Daption capense","1;2","migrant"
"Southern Fulmar","Fulmarus glacialoides","1;2","migrant"
"White Wagtail","Motacilla alba","1;2;3","migrant"
"Black-fronted Tern","Chlidonias albostriatus","1;3;4","migrant"
"Black-headed Parrot","Pionites melanocephalus","1","resident"
"Bridled Tern","Onychoprion anaethetus","2;3","migrant"
"California Quail","Callipepla californica","1","resident"
"Garganey","Spatula querquedula","2;3;4","migrant"
"Golden Pheasant","Chrysolophus pictus","1","resident"
"Gray Parrot","Psittacus erithacus","1","resident"
"Green Sandpiper","Tringa ochropus","2;3;4","migrant"
"House Crow","Corvus splendens","1","resident"
"Monk Parakeet","Myiopsitta monachus","1","resident"
"Redpoll","Acanthis flammea","1;2;3;4","migrant"
"Ruddy Shelduck","Tadorna ferruginea","1;2;3","migrant"
"Scarlet-chested Parrot","Neophema splendida","1","resident"
"Westland Petrel","Procellaria westlandica","1;2","migrant"
"Wild Turkey","Meleagris gallopavo","1","resident"
"Yellow Canary","Crithagra flaviventris","1","resident"
"Yellow Chat","Epthianura crocea","1","resident"
"Yellow-collared Lovebird","Agapornis personatus","1","resident"
