"common_name","scientific_name","botw_seasonal_codes","migratory_status"
"Chestnut-breasted Munia","Lonchura castaneothorax","1","resident"
"Wedge-tailed Shearwater","Ardenna pacifica","1;2","migrant"
"Little Shrikethrush","Colluricincla megarhyncha","1","resident"
"Red-browed Treecreeper","Climacteris erythrops","1","resident"
"Brown Songlark","Cincloramphus cruralis","1;2;3","migrant"
"Little Eagle","Hieraaetus morphnoides","1","resident"
"Pallid Cuckoo","Heteroscenes pallidus","1;2;3","migrant"
"Pacific Reef-Heron","Egretta sacra","1","resident"
"Rose-crowned Fruit-Dove","Ptilinopus regina","1","resident"
"Glossy Ibis","Plegadis falcinellus","1;2;3;4;5","migrant"
"White-fronted Chat","Epthianura albifrons","1","resident"
"Square-tailed Kite","Lophoictinia isura","1;3","migrant"
"Double-banded Plover","Anarhynchus bicinctus",NA,"unknown"
"Masked Woodswallow","Artamus personatus","1;2","migrant"
"Crested Bellbird","Oreoica gutturalis","1","resident"
"Kelp Gull","Larus dominicanus","1;3","migrant"
"Spotless Crake","Zapornia tabuensis","1","resident"
"Plumed Whistling-Duck","Dendrocygna eytoni","1","resident"
"Rockwarbler","Origma solitaria","1","resident"
"Red-winged Parrot","Aprosmictus erythropterus","1","resident"
"Budgerigar","Melopsittacus undulatus","1","resident"
"Pacific Baza","Aviceda subcristata","1","resident"
"Curlew Sandpiper","Calidris ferruginea","2;3;4","migrant"
"Flame Robin","Petroica phoenicea","1;3","migrant"
"Stubble Quail","Coturnix pectoralis","1;3","migrant"
"Hooded Robin","Melanodryas cucullata","1","resident"
"Australian Crake","Porzana fluminea","1","resident"
"Pale-yellow Robin","Eopsaltria capito","1","resident"
"Splendid Fairywren","Malurus splendens","1","resident"
"Whiskered Tern","Chlidonias hybrida","1;2;3","migrant"
"Lewin's Rail","Lewinia pectoralis","1","resident"
"Mulga Parrot","Psephotellus varius","1","resident"
"Red Knot","Calidris canutus","2;3;4","migrant"
"Wandering Whistling-Duck","Dendrocygna arcuata","1","resident"
"Baillon's Crake","Zapornia pusilla","1;2;3;4","migrant"
"Black-tailed Nativehen","Tribonyx ventralis","1","resident"
"Comb-crested Jacana","Irediparra gallinacea","1","resident"
"Muscovy Duck","Cairina moschata","1","resident"
"Eastern Bristlebird","Dasyornis brachypterus","1","resident"
"Freckled Duck","Stictonetta naevosa","1","resident"
"Eurasian Skylark","Alauda arvensis","1;2;3;4","migrant"
"Beautiful Firetail","Stagonopleura bella","1","resident"
"Spotted Bowerbird","Chlamydera maculata","1","resident"
"Black-faced Woodswallow","Artamus cinereus","1","resident"
"Pilotbird","Pycnoptilus floccosus","1","resident"
"Tawny-crowned Honeyeater","Gliciphila melanops","1","resident"
"Turquoise Parrot","Neophema pulchella","1","resident"
"Little Crow","Corvus bennetti","1","resident"
"Black-browed Albatross","Thalassarche melanophris","1;2","migrant"
"Forest Kingfisher","Todiramphus macleayii","1;2;3","migrant"
"Russet-tailed Thrush","Zoothera heinei","1","resident"
"Black-necked Stork","Ephippiorhynchus asiaticus","1","resident"
"Chestnut-rumped Heathwren","Hylacola pyrrhopygia","1","resident"
"Sanderling","Calidris alba","2;3;4","migrant"
"White-fronted Honeyeater","Purnella albifrons","1;3","migrant"
"Short-tailed Shearwater","Ardenna tenuirostris","1;2","migrant"
"Diamond Dove","Geopelia cuneata","1","resident"
"Plum-headed Finch","Emblema modestum","1","resident"
"Crimson Chat","Epthianura tricolor","1;3","migrant"
"Painted Buttonquail","Turnix varius","1","resident"
"Beach Thick-knee","Esacus magnirostris","1","resident"
"Spotted Harrier","Circus assimilis","1","resident"
"Gray Currawong","Strepera versicolor","1","resident"
"White-backed Swallow","Cheramoeca leucosterna","1","resident"
"Pink Cockatoo","Cacatua leadbeateri","1","resident"
"Paradise Riflebird","Ptiloris paradiseus",NA,"unknown"
"Graylag Goose","Anser anser","1;2;3","migrant"
"Chirruping Wedgebill","Psophodes cristatus","1","resident"
"Spotted Quail-thrush","Cinclosoma punctatum","1","resident"
"Banded Lapwing","Vanellus tricolor","1","resident"
"Crescent Honeyeater","Phylidonyris pyrrhopterus","1","resident"
"Singing Bushlark","Mirafra javanica","1;3","migrant"
"Red-backed Kingfisher","Todiramphus pyrrhopygius","1","resident"
"Wandering Tattler","Tringa incana","2;3;4","migrant"
"Eastern Barn Owl","Tyto javanica",NA,"unknown"
"Black-chinned Honeyeater","Melithreptus gularis","1","resident"
"Chestnut-crowned Babbler","Pomatostomus ruficeps","1","resident"
"White-throated Nightjar","Eurostopodus mystacalis","1;2;3","migrant"
