"common_name","scientific_name","wlab_taxon_id","wlab_scientificname","n_wlab_subspecies","n_nsw_subspecies","risk_listed","match_type","wlab_review","wlab_review_reason"
"Banded Stilt","Cladorhynchus leucocephalus","u147","Cladorhynchus leucocephalus",1,1,TRUE,"binomial",FALSE,NA
"Blue-winged Parrot","Neophema chrysostoma","u306","Neophema chrysostoma",1,1,TRUE,"binomial",FALSE,NA
"Buff-breasted Sandpiper","Calidris subruficollis",NA,NA,0,0,FALSE,"none",FALSE,NA
"Fairy Prion","Pachyptila turtur","u83","Pachyptila turtur",1,1,TRUE,"binomial",FALSE,NA
"Asian Dowitcher","Limnodromus semipalmatus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Ruff","Calidris pugnax",NA,NA,0,0,FALSE,"none",FALSE,NA
"Gull-billed Tern","Gelochelidon nilotica",NA,NA,0,0,FALSE,"none",FALSE,NA
"Australian Bustard","Ardeotis australis","u176","Ardeotis australis",1,1,TRUE,"binomial",FALSE,NA
"Dusky Myzomela","Myzomela obscura","u590b","Myzomela obscura harterti",1,1,TRUE,"binomial",FALSE,NA
"Red-lored Whistler","Pachycephala rufogularis","u402","Pachycephala rufogularis",1,1,TRUE,"binomial",FALSE,NA
"Red-backed Buttonquail","Turnix maculosus","u13","Turnix maculosus melanotus",1,1,TRUE,"binomial",FALSE,NA
"Streaked Shearwater","Calonectris leucomelas",NA,NA,0,0,FALSE,"none",FALSE,NA
"Hall's Babbler","Pomatostomus halli","u938","Pomatostomus halli",1,1,TRUE,"binomial",FALSE,NA
"Song Thrush","Turdus philomelos",NA,NA,0,0,FALSE,"none",FALSE,NA
"Kentish Plover","Anarhynchus alexandrinus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Red-chested Buttonquail","Turnix pyrrhothorax","u19","Turnix pyrrhothorax",1,1,TRUE,"binomial",FALSE,NA
"Broad-billed Sandpiper","Calidris falcinellus","u167","Calidris falcinellus sibirica",1,1,TRUE,"binomial",FALSE,NA
"Northern Giant-Petrel","Macronectes halli",NA,NA,0,0,FALSE,"none",FALSE,NA
"Paradise Shelduck","Tadorna variegata",NA,NA,0,0,FALSE,"none",FALSE,NA
"Oriental Cuckoo","Cuculus optatus","u336","Cuculus optatus",1,1,TRUE,"binomial",FALSE,NA
"Providence Petrel","Pterodroma solandri",NA,NA,0,0,FALSE,"none",FALSE,NA
"Striated Grasswren","Amytornis striatus","u513e;u513c","Amytornis striatus striatus;Amytornis striatus howei",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Shining Flycatcher","Myiagra alecto",NA,NA,0,0,FALSE,"none",FALSE,NA
"Gibberbird","Ashbyia lovensis","u452","Ashbyia lovensis",1,1,TRUE,"binomial",FALSE,NA
"Long-tailed Jaeger","Stercorarius longicaudus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Alexandrine Parakeet","Psittacula eupatria",NA,NA,0,0,FALSE,"none",FALSE,NA
"Eurasian Tree Sparrow","Passer montanus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Cotton Pygmy-Goose","Nettapus coromandelianus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Buller's Albatross","Thalassarche bulleri",NA,NA,0,0,FALSE,"none",FALSE,NA
"White-rumped Sandpiper","Calidris fuscicollis",NA,NA,0,0,FALSE,"none",FALSE,NA
"Purple-crowned Lorikeet","Psitteuteles porphyrocephalus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Brown Booby","Sula leucogaster","u102","Sula leucogaster plotus",1,1,TRUE,"binomial",FALSE,NA
"Lesser Frigatebird","Fregata ariel",NA,NA,0,0,FALSE,"none",FALSE,NA
"Southern Giant-Petrel","Macronectes giganteus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Slaty-backed Thornbill","Acanthiza robustirostris",NA,NA,0,0,FALSE,"none",FALSE,NA
"Pink Robin","Petroica rodinogaster","u383a","Petroica rodinogaster inexpectata",1,1,TRUE,"binomial",FALSE,NA
"Malleefowl","Leipoa ocellata","u7","Leipoa ocellata",1,1,TRUE,"binomial",FALSE,NA
"Buller's Shearwater","Ardenna bulleri",NA,NA,0,0,FALSE,"none",FALSE,NA
"Banded Whiteface","Aphelocephala nigricincta",NA,NA,0,0,FALSE,"none",FALSE,NA
"Gray-headed Lapwing","Vanellus cinereus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Long-toed Stint","Calidris subminuta","u965","Calidris subminuta",1,1,TRUE,"binomial",FALSE,NA
"Eyrean Grasswren","Amytornis goyderi",NA,NA,0,0,FALSE,"none",FALSE,NA
"Little Shearwater","Puffinus assimilis",NA,NA,0,0,FALSE,"none",FALSE,NA
"Semipalmated Plover","Charadrius semipalmatus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Citrine Wagtail","Motacilla citreola",NA,NA,0,0,FALSE,"none",FALSE,NA
"Gray Falcon","Falco hypoleucos","u236","Falco hypoleucos",1,1,TRUE,"binomial",FALSE,NA
"Gray Grasswren","Amytornis barbatus","u871a","Amytornis barbatus barbatus",1,1,TRUE,"binomial",FALSE,NA
"Barn Swallow","Hirundo rustica",NA,NA,0,0,FALSE,"none",FALSE,NA
"Little Stint","Calidris minuta",NA,NA,0,0,FALSE,"none",FALSE,NA
"Oriental Plover","Anarhynchus veredus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Red-necked Phalarope","Phalaropus lobatus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Letter-winged Kite","Elanus scriptus",NA,NA,0,0,FALSE,"none",FALSE,NA
"White-necked Petrel","Pterodroma cervicalis",NA,NA,0,0,FALSE,"none",FALSE,NA
"Oriental Pratincole","Glareola maldivarum",NA,NA,0,0,FALSE,"none",FALSE,NA
"Torresian Imperial-Pigeon","Ducula spilorrhoa",NA,NA,0,0,FALSE,"none",FALSE,NA
"Wilson's Storm-Petrel","Oceanites oceanicus","u63b","Oceanites oceanicus oceanicus",1,1,TRUE,"binomial",FALSE,NA
"Gould's Petrel","Pterodroma leucoptera",NA,NA,0,0,FALSE,"none",FALSE,NA
"White-chinned Petrel","Procellaria aequinoctialis",NA,NA,0,0,FALSE,"none",FALSE,NA
"Squatter Pigeon","Geophaps scripta","u39b","Geophaps scripta scripta",1,1,TRUE,"binomial",FALSE,NA
"Antipodean Albatross","Diomedea antipodensis",NA,NA,0,0,FALSE,"none",FALSE,NA
"Lesser Yellowlegs","Tringa flavipes",NA,NA,0,0,FALSE,"none",FALSE,NA
"Common Diving-Petrel","Pelecanoides urinatrix","u85b","Pelecanoides urinatrix urinatrix",1,1,TRUE,"binomial",FALSE,NA
"Papuan Eclectus","Eclectus polychloros",NA,NA,0,0,FALSE,"none",FALSE,NA
"Thick-billed Grasswren","Amytornis modestus","u8022c","Amytornis modestus obscurior",1,1,TRUE,"binomial",FALSE,NA
"Arctic Tern","Sterna paradisaea",NA,NA,0,0,FALSE,"none",FALSE,NA
"Kermadec Petrel","Pterodroma neglecta","u922","Pterodroma neglecta neglecta",1,0,TRUE,"binomial",FALSE,NA
"Great Frigatebird","Fregata minor",NA,NA,0,0,FALSE,"none",FALSE,NA
"Princess Parrot","Polytelis alexandrae",NA,NA,0,0,FALSE,"none",FALSE,NA
"Rosy-faced Lovebird","Agapornis roseicollis",NA,NA,0,0,FALSE,"none",FALSE,NA
"White-faced Storm-Petrel","Pelagodroma marina","u65","Pelagodroma marina dulciae",1,1,TRUE,"binomial",FALSE,NA
"African Collared-Dove","Streptopelia roseogrisea",NA,NA,0,0,FALSE,"none",FALSE,NA
"Blue-and-yellow Macaw","Ara ararauna",NA,NA,0,0,FALSE,"none",FALSE,NA
"Roseate Tern","Sterna dougallii",NA,NA,0,0,FALSE,"none",FALSE,NA
"Mandarin Duck","Aix galericulata",NA,NA,0,0,FALSE,"none",FALSE,NA
"Northern Shoveler","Spatula clypeata",NA,NA,0,0,FALSE,"none",FALSE,NA
"White-bellied Storm-Petrel","Fregetta grallaria",NA,NA,0,0,FALSE,"none",FALSE,NA
"Red-and-green Macaw","Ara chloropterus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Snowy Albatross","Diomedea exulans",NA,NA,0,0,FALSE,"none",FALSE,NA
"White-headed Petrel","Pterodroma lessonii",NA,NA,0,0,FALSE,"none",FALSE,NA
"Canada Goose","Branta canadensis",NA,NA,0,0,FALSE,"none",FALSE,NA
"Cape Barren Goose","Cereopsis novaehollandiae",NA,NA,0,0,FALSE,"none",FALSE,NA
"Common Redshank","Tringa totanus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Great Bowerbird","Chlamydera nuchalis",NA,NA,0,0,FALSE,"none",FALSE,NA
"Little Ringed Plover","Thinornis dubius",NA,NA,0,0,FALSE,"none",FALSE,NA
"Painted Firetail","Emblema pictum","u654","Emblema pictum",1,1,TRUE,"binomial",FALSE,NA
"Pied Heron","Egretta picata",NA,NA,0,0,FALSE,"none",FALSE,NA
"Red-footed Booby","Sula sula","u103","Sula sula rubripes",1,1,TRUE,"binomial",FALSE,NA
"White-tailed Tropicbird","Phaethon lepturus",NA,NA,0,0,FALSE,"none",FALSE,NA
"American Golden-Plover","Pluvialis dominica",NA,NA,0,0,FALSE,"none",FALSE,NA
"Bulwer's Petrel","Bulweria bulwerii",NA,NA,0,0,FALSE,"none",FALSE,NA
"Gouldian Finch","Chloebia gouldiae",NA,NA,0,0,FALSE,"none",FALSE,NA
"Mute Swan","Cygnus olor",NA,NA,0,0,FALSE,"none",FALSE,NA
"Northern Pintail","Anas acuta",NA,NA,0,0,FALSE,"none",FALSE,NA
"Pintado Petrel","Daption capense",NA,NA,0,0,FALSE,"none",FALSE,NA
"Southern Fulmar","Fulmarus glacialoides",NA,NA,0,0,FALSE,"none",FALSE,NA
"White Wagtail","Motacilla alba",NA,NA,0,0,FALSE,"none",FALSE,NA
"Black-fronted Tern","Chlidonias albostriatus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Black-headed Parrot","Pionites melanocephalus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Bridled Tern","Onychoprion anaethetus","u121a","Onychoprion anaethetus anaethetus",1,1,TRUE,"binomial",FALSE,NA
"California Quail","Callipepla californica",NA,NA,0,0,FALSE,"none",FALSE,NA
"Garganey","Spatula querquedula",NA,NA,0,0,FALSE,"none",FALSE,NA
"Golden Pheasant","Chrysolophus pictus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Gray Parrot","Psittacus erithacus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Green Sandpiper","Tringa ochropus",NA,NA,0,0,FALSE,"none",FALSE,NA
"House Crow","Corvus splendens",NA,NA,0,0,FALSE,"none",FALSE,NA
"Monk Parakeet","Myiopsitta monachus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Redpoll","Acanthis flammea",NA,NA,0,0,FALSE,"none",FALSE,NA
"Ruddy Shelduck","Tadorna ferruginea",NA,NA,0,0,FALSE,"none",FALSE,NA
"Scarlet-chested Parrot","Neophema splendida","u303","Neophema splendida",1,1,TRUE,"binomial",FALSE,NA
"Westland Petrel","Procellaria westlandica",NA,NA,0,0,FALSE,"none",FALSE,NA
"Wild Turkey","Meleagris gallopavo",NA,NA,0,0,FALSE,"none",FALSE,NA
"Yellow Canary","Crithagra flaviventris",NA,NA,0,0,FALSE,"none",FALSE,NA
"Yellow Chat","Epthianura crocea",NA,NA,0,0,FALSE,"none",FALSE,NA
"Yellow-collared Lovebird","Agapornis personatus",NA,NA,0,0,FALSE,"none",FALSE,NA
