"common_name","scientific_name","wlab_taxon_id","wlab_scientificname","n_wlab_subspecies","n_nsw_subspecies","risk_listed","match_type","wlab_review","wlab_review_reason"
"Kelp Gull","Larus dominicanus","u981a","Larus dominicanus antipodus",1,1,TRUE,"binomial",FALSE,NA
"Spotless Crake","Zapornia tabuensis","u51","Zapornia tabuensis tabuensis",1,1,TRUE,"binomial",FALSE,NA
"Plumed Whistling-Duck","Dendrocygna eytoni","u205","Dendrocygna eytoni",1,1,TRUE,"binomial",FALSE,NA
"Rockwarbler","Origma solitaria","u505","Origma solitaria",1,1,TRUE,"binomial",FALSE,NA
"Red-winged Parrot","Aprosmictus erythropterus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Budgerigar","Melopsittacus undulatus","u310","Melopsittacus undulatus",1,1,TRUE,"binomial",FALSE,NA
"Pacific Baza","Aviceda subcristata","u234","Aviceda subcristata subcristata",1,1,TRUE,"binomial",FALSE,NA
"Curlew Sandpiper","Calidris ferruginea","u161","Calidris ferruginea",1,1,TRUE,"binomial",FALSE,NA
"Flame Robin","Petroica phoenicea","u382","Petroica phoenicea",1,1,TRUE,"binomial",FALSE,NA
"Stubble Quail","Coturnix pectoralis","u9","Coturnix pectoralis",1,1,TRUE,"binomial",FALSE,NA
"Hooded Robin","Melanodryas cucullata","u385a;u385c","Melanodryas cucullata cucullata;Melanodryas cucullata picata",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Australian Crake","Porzana fluminea","u49","Porzana fluminea",1,1,TRUE,"binomial",FALSE,NA
"Pale-yellow Robin","Eopsaltria capito",NA,NA,0,0,FALSE,"none",FALSE,NA
"Splendid Fairywren","Malurus splendens","u532b","Malurus splendens melanotus",1,1,TRUE,"binomial",FALSE,NA
"Whiskered Tern","Chlidonias hybrida","u110","Chlidonias hybrida javanicus",1,1,TRUE,"binomial",FALSE,NA
"Lewin's Rail","Lewinia pectoralis","u45c","Lewinia pectoralis pectoralis",1,1,TRUE,"binomial",FALSE,NA
"Mulga Parrot","Psephotellus varius","u296","Psephotellus varius",1,1,TRUE,"binomial",FALSE,NA
"Red Knot","Calidris canutus","u164a;u164b","Calidris canutus piersmai;Calidris canutus rogersi",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Wandering Whistling-Duck","Dendrocygna arcuata","u204","Dendrocygna arcuata australis",1,1,TRUE,"binomial",FALSE,NA
"Baillon's Crake","Zapornia pusilla","u50","Zapornia pusilla palustris",1,1,TRUE,"binomial",FALSE,NA
"Black-tailed Nativehen","Tribonyx ventralis","u55","Tribonyx ventralis",1,1,TRUE,"binomial",FALSE,NA
"Comb-crested Jacana","Irediparra gallinacea","u171","Irediparra gallinacea novaehollandiae",1,1,TRUE,"binomial",FALSE,NA
"Muscovy Duck","Cairina moschata",NA,NA,0,0,FALSE,"none",FALSE,NA
"Eastern Bristlebird","Dasyornis brachypterus","u519b;u519a","Dasyornis brachypterus monoides;Dasyornis brachypterus brachypterus",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Freckled Duck","Stictonetta naevosa","u214","Stictonetta naevosa",1,1,TRUE,"binomial",FALSE,NA
"Eurasian Skylark","Alauda arvensis",NA,NA,0,0,FALSE,"none",FALSE,NA
"Beautiful Firetail","Stagonopleura bella","u650","Stagonopleura bella",1,1,TRUE,"binomial",FALSE,NA
"Spotted Bowerbird","Chlamydera maculata","u680","Chlamydera maculata",1,1,TRUE,"binomial",FALSE,NA
"Black-faced Woodswallow","Artamus cinereus","u546b;u546c","Artamus cinereus inkermani;Artamus cinereus melanops",2,1,TRUE,"binomial",FALSE,NA
"Pilotbird","Pycnoptilus floccosus","u506a;u506b","Pycnoptilus floccosus floccosus;Pycnoptilus floccosus sandlandi",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Tawny-crowned Honeyeater","Gliciphila melanops","u593b","Gliciphila melanops melanops",1,1,TRUE,"binomial",FALSE,NA
"Turquoise Parrot","Neophema pulchella","u302","Neophema pulchella",1,1,TRUE,"binomial",FALSE,NA
"Little Crow","Corvus bennetti","u691","Corvus bennetti",1,1,TRUE,"binomial",FALSE,NA
"Black-browed Albatross","Thalassarche melanophris",NA,NA,0,0,FALSE,"none",FALSE,NA
"Forest Kingfisher","Todiramphus macleayii","u324a","Todiramphus macleayii incinctus",1,1,TRUE,"binomial",FALSE,NA
"Russet-tailed Thrush","Zoothera heinei","u780","Zoothera heinei heinei",1,1,TRUE,"binomial",FALSE,NA
"Black-necked Stork","Ephippiorhynchus asiaticus","u183","Ephippiorhynchus asiaticus australis",1,1,TRUE,"binomial",FALSE,NA
"Chestnut-rumped Heathwren","Hylacola pyrrhopygia",NA,NA,0,0,FALSE,"none",FALSE,NA
"Sanderling","Calidris alba","u166","Calidris alba alba",1,1,TRUE,"binomial",FALSE,NA
"White-fronted Honeyeater","Purnella albifrons","u594","Purnella albifrons",1,1,TRUE,"binomial",FALSE,NA
"Short-tailed Shearwater","Ardenna tenuirostris","u71","Ardenna tenuirostris",1,1,TRUE,"binomial",FALSE,NA
"Diamond Dove","Geopelia cuneata","u31","Geopelia cuneata",1,1,TRUE,"binomial",FALSE,NA
"Plum-headed Finch","Emblema modestum","u661","Neochmia modesta",1,1,TRUE,"common",FALSE,NA
"Crimson Chat","Epthianura tricolor","u449","Epthianura tricolor",1,1,TRUE,"binomial",FALSE,NA
"Painted Buttonquail","Turnix varius","u14a","Turnix varius varius",1,1,TRUE,"binomial",FALSE,NA
"Beach Thick-knee","Esacus magnirostris","u175","Esacus magnirostris",1,1,TRUE,"binomial",FALSE,NA
"Spotted Harrier","Circus assimilis","u218","Circus assimilis",1,1,TRUE,"binomial",FALSE,NA
"Gray Currawong","Strepera versicolor","u697d;u697f","Strepera versicolor melanoptera;Strepera versicolor versicolor",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"White-backed Swallow","Cheramoeca leucosterna","u358","Cheramoeca leucosterna",1,1,TRUE,"binomial",FALSE,NA
"Pink Cockatoo","Cacatua leadbeateri","u270a","Cacatua leadbeateri leadbeateri",1,1,TRUE,"binomial",FALSE,NA
"Paradise Riflebird","Ptiloris paradiseus","u686","Lophorina paradisea",1,1,TRUE,"common",FALSE,NA
"Graylag Goose","Anser anser",NA,NA,0,0,FALSE,"none",FALSE,NA
"Chirruping Wedgebill","Psophodes cristatus","u866","Psophodes cristatus",1,1,TRUE,"binomial",FALSE,NA
"Spotted Quail-thrush","Cinclosoma punctatum","u436c","Cinclosoma punctatum punctatum",1,1,TRUE,"binomial",FALSE,NA
"Banded Lapwing","Vanellus tricolor","u135","Vanellus tricolor",1,1,TRUE,"binomial",FALSE,NA
"Crescent Honeyeater","Phylidonyris pyrrhopterus","u630b","Phylidonyris pyrrhopterus pyrrhopterus",1,1,TRUE,"binomial",FALSE,NA
"Singing Bushlark","Mirafra javanica","u648d;u648f","Mirafra javanica horsfieldii;Mirafra javanica rufescens",2,1,TRUE,"binomial",FALSE,NA
"Red-backed Kingfisher","Todiramphus pyrrhopygius","u325","Todiramphus pyrrhopygius",1,1,TRUE,"binomial",FALSE,NA
"Wandering Tattler","Tringa incana",NA,NA,0,0,FALSE,"none",FALSE,NA
"Eastern Barn Owl","Tyto javanica","u249","Tyto alba delicatula",1,1,TRUE,"common",FALSE,NA
"Black-chinned Honeyeater","Melithreptus gularis","u580","Melithreptus gularis",1,1,TRUE,"binomial",FALSE,NA
"Chestnut-crowned Babbler","Pomatostomus ruficeps","u446","Pomatostomus ruficeps",1,1,TRUE,"binomial",FALSE,NA
"White-throated Nightjar","Eurostopodus mystacalis","u330","Eurostopodus mystacalis",1,1,TRUE,"binomial",FALSE,NA
"Black-tailed Godwit","Limosa limosa","u152","Limosa limosa melanuroides",1,1,TRUE,"binomial",FALSE,NA
"Pale-headed Rosella","Platycercus adscitus","u286b","Platycercus adscitus palliceps",1,1,TRUE,"binomial",FALSE,NA
"Common Greenshank","Tringa nebularia","u158","Tringa nebularia",1,1,TRUE,"binomial",FALSE,NA
"Yellow-plumed Honeyeater","Ptilotula ornata","u622","Ptilotula ornata",1,1,TRUE,"binomial",FALSE,NA
"Black Honeyeater","Sugomel nigrum","u589","Sugomel nigrum",1,1,TRUE,"binomial",FALSE,NA
"Swift Parrot","Lathamus discolor","u309","Lathamus discolor",1,1,TRUE,"binomial",FALSE,NA
"White-fronted Tern","Sterna striata",NA,NA,0,0,FALSE,"none",FALSE,NA
"Greater Sand-Plover","Anarhynchus leschenaultii",NA,NA,0,0,FALSE,"none",FALSE,NA
"White-throated Honeyeater","Melithreptus albogularis","u579b","Melithreptus albogularis inopinatus",1,1,TRUE,"binomial",FALSE,NA
"Marsh Sandpiper","Tringa stagnatilis",NA,NA,0,0,FALSE,"none",FALSE,NA
"Hooded Plover","Thinornis cucullatus","u138a","Thinornis cucullatus cucullatus",1,1,TRUE,"binomial",FALSE,NA
"Brush Bronzewing","Phaps elegans","u35a","Phaps elegans elegans",1,1,TRUE,"binomial",FALSE,NA
"Brolga","Antigone rubicunda","u177","Grus rubicunda",1,1,TRUE,"common",FALSE,NA
"Orange Chat","Epthianura aurifrons","u450","Epthianura aurifrons",1,1,TRUE,"binomial",FALSE,NA
"Fluttering Shearwater","Puffinus gavia",NA,NA,0,0,FALSE,"none",FALSE,NA
"Ground Parrot","Pezoporus wallicus","u311c","Pezoporus wallicus wallicus",1,1,TRUE,"binomial",FALSE,NA
"Satin Flycatcher","Myiagra cyanoleuca","u366","Myiagra cyanoleuca",1,1,TRUE,"binomial",FALSE,NA
"Pied Honeyeater","Certhionyx variegatus","u602","Certhionyx variegatus",1,1,TRUE,"binomial",FALSE,NA
"Black Falcon","Falco subniger","u238","Falco subniger",1,1,TRUE,"binomial",FALSE,NA
"Painted Honeyeater","Grantiella picta","u598","Grantiella picta",1,1,TRUE,"binomial",FALSE,NA
"Pacific Swift","Apus pacificus","u335","Apus pacificus pacificus",1,1,TRUE,"binomial",FALSE,NA
"White-capped Albatross","Thalassarche cauta","u91","Thalassarche cauta",1,1,TRUE,"binomial",FALSE,NA
"Black-eared Cuckoo","Chalcites osculans","u341","Chalcites osculans",1,1,TRUE,"binomial",FALSE,NA
"White-eared Monarch","Carterornis leucotis","u376","Carterornis leucotis",1,1,TRUE,"binomial",FALSE,NA
"Bush Thick-knee","Burhinus grallarius","u174","Burhinus grallarius",1,1,TRUE,"binomial",FALSE,NA
