WLAB_ScientificName,WLAB_CommonName,WLAB_Taxon_ID
Neochmia temporalis temporalis,Southern Red-browed Finch,u662b
Myiagra inquieta,Restless Flycatcher,u728
Pardalotus striatus melanocephalus,Black-headed Pardalote,u976a
Pardalotus striatus ornatus,Eastern Striated Pardalote,u976c
Pardalotus striatus substriatus,Western Striated Pardalote,u976e
Dromaius novaehollandiae novaehollandiae,Mainland Emu,u1b
Smicrornis brevirostris brevirostris,Eastern Weebill,u465a
Smicrornis brevirostris flavescens,Northern Weebill,u465b
Smicrornis brevirostris occidentalis,Southern Weebill,u465c
Calamanthus campestris campestris,Nullarbor Rufous Fieldwren,u502a
Calamanthus campestris isabellinus,Lake Eyre Basin Rufous Fieldwren,u502c
Origma solitaria,Rockwarbler,u505
Daphoenositta chrysoptera chrysoptera,Orange-winged Sittella,u549a
Daphoenositta chrysoptera leucocephala,White-headed Sittella,u549b
Daphoenositta chrysoptera pileata,Black-capped Sittella,u549d
Malurus splendens melanotus,Black-backed Fairy-wren,u532b
Malurus leucopterus leuconotus,Mainland White-winged Fairy-wren,u535b
Pardalotus punctatus punctatus,Coastal Spotted Pardalote,u565b
Pardalotus punctatus xanthopyge,Yellow-rumped Pardalote,u565c
Malurus cyaneus cyanochlamys,Northern Superb Fairy-wren,u529c
Malurus assimilis assimilis,Inland Purple-backed Fairy-wren,u536d
Malurus melanocephalus melanocephalus,Eastern Red-backed Fairy-wren,u541b
Stipiturus malachurus malachurus,East Coast Southern Emu-wren,u526e
