WLAB_ScientificName,WLAB_CommonName,WLAB_Taxon_ID
Nycticorax caledonicus australasiae,Torresian Nankeen Night-Heron,u192
Circus assimilis,Spotted Harrier,u218
Tyto tenebricosa tenebricosa,Australian Greater Sooty Owl,u253
Megaloprepia magnifica magnifica,Southern Wompoo Fruit-Dove,u25c
Lopholaimus antarcticus,Topknot Pigeon,u27
Pelecanoides urinatrix urinatrix,Australasian Common Diving-Petrel,u85b
Dendrocygna arcuata australis,Torresian Wandering Whistling-Duck,u204
Dendrocygna eytoni,Plumed Whistling-Duck,u205
Atrichornis rufescens ferrieri,Southern Rufous Scrub-bird,u355a
Atrichornis rufescens rufescens,Northern Rufous Scrub-bird,u355b
Artamus personatus,Masked Woodswallow,u544
Artamus superciliosus,White-browed Woodswallow,u545
Artamus cinereus inkermani,Central Queensland Coast Black-faced Woodswallow,u546b
Artamus cinereus melanops,Inland Black-faced Woodswallow,u546c
Artamus cyanopterus cyanopterus,Eastern Dusky Woodswallow,u547a
Artamus minor derbyi,Northern Little Woodswallow,u548a
Larus novaehollandiae novaehollandiae,Australian Silver Gull,u125
Biziura lobata menziesi,Eastern Musk Duck,u217b
Cacatua tenuirostris,Long-billed Corella,u272
Ardenna carneipes,Flesh-footed Shearwater,u72
Cacatua galerita galerita,Eastern Sulphur-crested Cockatoo,u269b
Ninox boobook boobook,South-eastern Boobook,u242a
Amytornis striatus howei,Murray Mallee Striated Grasswren,u513c
Ardea alba modesta,Eastern Great Egret,u187
Accipiter novaehollandiae,Grey Goshawk,u220
Haliastur indus girrenera,Torresian Brahminy Kite,u227
Milvus migrans affinis,Torresian Black Kite,u229
Lophoictinia isura,Square-tailed Kite,u230
Ninox strenua,Powerful Owl,u248
Haematopus fuliginosus fuliginosus,Southern Sooty Oystercatcher,u131a
Zanda funerea funerea,Eastern Yellow-tailed Black-Cockatoo,u267a
Alisterus scapularis scapularis,Southern Australian King-Parrot,u281b
Egretta sacra sacra,Common Eastern Reef Egret,u191
Ixobrychus flavicollis australis,Torresian Black Bittern,u196a
Anas castanea,Chestnut Teal,u210
Hirundo neoxena neoxena,Eastern Welcome Swallow,u357b
Ardeotis australis,Australian Bustard,u176
Cacatua sanguinea gymnopis,Eastern Little Corella,u271a
Oxyura australis,Blue-billed Duck,u216
Aviceda subcristata subcristata,Australian Pacific Baza,u234
Elanus axillaris,Black-shouldered Kite,u232
Coracina lineata lineata,Australian Barred Cuckoo-shrike,u428
Cheramoeca leucosterna,White-backed Swallow,u358
Petrochelidon ariel,Fairy Martin,u360
Esacus magnirostris,Beach Stone-curlew,u175
Accipiter fasciatus fasciatus,Southern Brown Goshawk,u221c
Tyto alba delicatula,Eastern Barn Owl,u249
Eurostopodus mystacalis,White-throated Nightjar,u330
Pelagodroma marina dulciae,Australian White-faced Storm-Petrel,u65
Ixobrychus dubius,Australian Little Bittern,u195
Ptilinopus regina regina,Eastern Rose-crowned Fruit-Dove,u21b
Ptilinopus superbus,Superb Fruit-Dove,u23
Merops ornatus,Rainbow Bee-eater,u329
Sphecotheres vieilloti vieilloti,Green Figbird,u432c
Artamus leucorynchus leucopygialis,Torresian White-breasted Woodswallow,u543
Oriolus sagittatus sagittatus,Eastern Olive-backed Oriole,u671c
Haematopus longirostris,Australian Pied Oystercatcher,u130
Oceanites oceanicus oceanicus,Subantarctic Wilson's Storm-Petrel,u63b
Scythrops novaehollandiae novaehollandiae,Australian Channel-billed Cuckoo,u348
Pycnoptilus floccosus floccosus,Upland Pilotbird,u506a
Pycnoptilus floccosus sandlandi,Lowland Pilotbird,u506b
Corvus tasmanicus boreus,New England Forest Raven,u868a
Corvus mellori,Little Raven,u954
Chlidonias leucopterus,White-winged Black Tern,u109
Tyto novaehollandiae novaehollandiae,Southern Masked Owl,u250e
Tyto longimembris longimembris,Australian Eastern Grass Owl,u252
Lalage leucomela leucomela,Eastern Varied Triller,u431a
Melanodryas cucullata cucullata,South-eastern Hooded Robin,u385a
Aphelocephala leucopsis leucopsis,South-east Southern Whiteface,u466b
Numenius phaeopus variegatus,Eastern Siberian Whimbrel,u150b
Eolophus roseicapilla albiceps,Eastern Galah,u273a
Podiceps cristatus australis,Australian Great Crested Grebe,u60
Corvus coronoides coronoides,Eastern Australian Raven,u930a
Edolisoma tenuirostre tenuirostre,Eastern Common Cicadabird,u429b
Egretta garzetta immaculata,Australasian Little Egret,u185b
Accipiter cirrocephalus cirrocephalus,Australian Collared Sparrowhawk,u222
Polytelis swainsonii,Superb Parrot,u277
Coracina novaehollandiae melanops,Mainland Black-faced Cuckoo-shrike,u424a
Charadrius ruficapillus,Red-capped Plover,u143
Cladorhynchus leucocephalus,Banded Stilt,u147
Recurvirostra novaehollandiae,Red-necked Avocet,u148
Tringa brevipes,Grey-tailed Tattler,u155
Calidris alba alba,Eastern Sanderling,u166
Nymphicus hollandicus,Cockatiel,u274
Platycercus adscitus palliceps,Southern Pale-headed Rosella,u286b
Porphyrio porphyrio melanotus,Australasian Purple Swamphen,u58b
Corvus bennetti,Little Crow,u691
Calidris ruficollis,Red-necked Stint,u162
Menura novaehollandiae edwardi,Northern Superb Lyrebird,u350a
Menura novaehollandiae novaehollandiae,Central Superb Lyrebird,u350b
Menura novaehollandiae victoriae,Southern Superb Lyrebird,u350c
Menura alberti,Albert's Lyrebird,u351
Ptilonorhynchus violaceus violaceus,Southern Satin Bowerbird,u679b
Sericulus chrysocephalus,Regent Bowerbird,u684
Neopsephotus bourkii,Bourke's Parrot,u304
Cuculus optatus,Oriental Cuckoo,u336
Coracina maxima,Ground Cuckoo-shrike,u423
Coracina papuensis artamoides,Eastern White-bellied Cuckoo-shrike,u425b
Coracina papuensis robusta,South-eastern White-bellied Cuckoo-shrike,u425e
Colluricincla megarhyncha rufogaster,Southern Little Shrike-thrush,u413f
Poliocephalus poliocephalus,Hoary-headed Grebe,u62
Corvus orru cecilae,Australian Torresian Crow,u692a
Strepera versicolor melanoptera,Black-winged Currawong,u697d
Strepera versicolor versicolor,South-eastern Grey Currawong,u697f
Burhinus grallarius,Bush Stone-curlew,u174
Stagonopleura guttata,Diamond Firetail,u652
Numenius minutus,Little Curlew,u151
Calidris falcinellus sibirica,Eastern Siberian Broad-billed Sandpiper,u167
Neophema pulchella,Turquoise Parrot,u302
Neophema splendida,Scarlet-chested Parrot,u303
Calidris melanotos,Pectoral Sandpiper,u978
Platycercus elegans elegans,South-eastern Crimson Rosella,u282a
Platycercus elegans flaveolus,Yellow Rosella,u282c
Platycercus eximius elecica,Golden-mantled Rosella,u288b
Platycercus eximius eximius,South-east Eastern Rosella,u288c
Phaps histrionica,Flock Bronzewing,u36
Lichenostomus melanops gippslandicus,Gippsland Yellow-tufted Honeyeater,u619b
Lichenostomus melanops melanops,Eastern Yellow-tufted Honeyeater,u619c
Lichenostomus melanops meltoni,Western Yellow-tufted Honeyeater,u619d
Ailuroedus crassirostris,Green Catbird,u676
Strepera graculina graculina,Eastern Pied Currawong,u694c
Strepera graculina ashbyi,South-eastern Pied Currawong,u694e
Cracticus torquatus torquatus,South-eastern Grey Butcherbird,u702b
Cracticus torquatus leucopterus,Inland Grey Butcherbird,u702c
Gymnorhina tibicen terraereginae,Eastern Australian Magpie,u705f
Gymnorhina tibicen tibicen,Coastal New South Wales Australian Magpie,u705g
Gymnorhina tibicen tyrannica,Southern Victoria Australian Magpie,u705h
Alectura lathami lathami,Southern Australian Brush-turkey,u8a
Pezoporus wallicus wallicus,Eastern Ground Parrot,u311c
Lalage tricolor,White-winged Triller,u430
Turnix maculosus melanotus,Australian Red-backed Button-quail,u13
Vanellus tricolor,Banded Lapwing,u135
Pluvialis fulva,Pacific Golden Plover,u137
Peltohyas australis,Inland Dotterel,u145
Barnardius zonarius barnardi,Mallee Ringneck,u294a
Melopsittacus undulatus,Budgerigar,u310
Cacomantis variolosus variolosus,Southern Brush Cuckoo,u339
Eudynamys orientalis cyanocephalus,South-east Eastern Koel,u347a
Pachycephala inornata,Gilbert's Whistler,u403
Pachycephala olivacea macphersoniana,Northern Olive Whistler,u405d
Pachycephala olivacea olivacea,South-eastern Olive Whistler,u405e
Porzana fluminea,Australian Spotted Crake,u49
Gallinula tenebrosa tenebrosa,Australian Dusky Moorhen,u56
Fulica atra australis,Australian Eurasian Coot,u59
Vanellus miles novaehollandiae,Southern Masked Lapwing,u133b
Himantopus leucocephalus,Pied Stilt,u146
Podargus ocellatus plumiferus,Plumed Frogmouth,u314b
Pachycephala pectoralis pectoralis,Eastern Golden Whistler,u398d
Pachycephala pectoralis youngi,South-eastern Golden Whistler,u398g
Pachycephala rufiventris rufiventris,Southern Rufous Whistler,u401d
Colluricincla harmonica harmonica,Eastern Grey Shrike-thrush,u408b
Leucosarcia melanoleuca,Wonga Pigeon,u44
Cracticus nigrogularis nigrogularis,Eastern Pied Butcherbird,u700a
Psephotellus varius,Mulga Parrot,u296
Heteroscenes pallidus,Pallid Cuckoo,u337
Cacomantis flabelliformis flabelliformis,Australian Fan-tailed Cuckoo,u338
Chalcites basalis,Horsfield's Bronze-Cuckoo,u342
Chalcites lucidus lucidus,New Zealand Shining Bronze-Cuckoo,u344a
Chalcites lucidus plagosus,Australian Shining Bronze-Cuckoo,u344b
Chalcites minutillus barnardi,Eastern Little Bronze-Cuckoo,u345a
Lewinia pectoralis pectoralis,Eastern Australian Lewin's Rail,u45c
Amaurornis moluccana ruficrissa,Torresian Pale-vented Bush-hen,u53
Zoothera heinei heinei,Australian Russet-tailed Thrush,u780
Coturnix pectoralis,Stubble Quail,u9
Calidris subminuta,Long-toed Stint,u965
Phaps elegans elegans,Eastern Brush Bronzewing,u35a
Sericornis citreogularis citreogularis,Southern Yellow-throated Scrubwren,u493b
Cormobates leucophaea leucophaea,South-eastern White-throated Treecreeper,u558c
Cormobates leucophaea metastasis,Central Eastern White-throated Treecreeper,u558d
Podargus strigoides brachypterus,Western Tawny Frogmouth,u313a
Podargus strigoides strigoides,Eastern Tawny Frogmouth,u313c
Geopelia humeralis humeralis,Eastern Bar-shouldered Dove,u32b
Phaps chalcoptera,Common Bronzewing,u34
Ocyphaps lophotes lophotes,Eastern Crested Pigeon,u43a
Climacteris picumnus picumnus,North-eastern Brown Treecreeper,u555b
Chlamydera maculata,Spotted Bowerbird,u680
