"common_name","scientific_name","wlab_taxon_id","wlab_scientificname","risk_assessed","wlab_review","wlab_review_reason","migration","garnett_movement","feeding_guild","trophic_level","primary_lifestyle","foraging_stratum","habitat_breadth","iucn_status","epbc_status","nsw_status","rez","n_checklists_rez","n_positive_rez","sufficient","seasonality_index","amplitude_link","peak_doy","peak_date","prob_seasonal","is_seasonal","window_start_doy","window_end_doy","window_start_date","window_end_date","window_wraps","mean_abund","se_abund","range_masked_in_rez","n_train_total","dev_expl","run_date"
"Noisy Miner","Manorina melanocephala","u634b","Manorina melanocephala melanocephala",TRUE,FALSE,NA,"Sedentary","local dispersal","Omnivore","Omnivore","Insessorial","ground",8,"LC","not listed","not listed","statewide",324797,113195,TRUE,0.220908054194453,0.249626209517337,165,"14 Jun",0,FALSE,NA,NA,NA,NA,FALSE,1.13470413749311,0.0333529278090954,FALSE,334105,0.241742804074233,"2026-07-03"
"Noisy Miner","Manorina melanocephala","u634b","Manorina melanocephala melanocephala",TRUE,FALSE,NA,"Sedentary","local dispersal","Omnivore","Omnivore","Insessorial","ground",8,"LC","not listed","not listed","central_west",3970,1249,TRUE,0.28902858562117,0.341123054798904,157,"06 Jun",0,FALSE,NA,NA,NA,NA,FALSE,2.37658645576855,0.0281262869414246,FALSE,334105,0.241742804074233,"2026-07-03"
"Noisy Miner","Manorina melanocephala","u634b","Manorina melanocephala melanocephala",TRUE,FALSE,NA,"Sedentary","local dispersal","Omnivore","Omnivore","Insessorial","ground",8,"LC","not listed","not listed","new_england",3780,1359,TRUE,0.220496002075052,0.24909746166494,162,"11 Jun",0,FALSE,NA,NA,NA,NA,FALSE,1.08004436099887,0.0377274891403889,FALSE,334105,0.241742804074233,"2026-07-03"
"Noisy Miner","Manorina melanocephala","u634b","Manorina melanocephala melanocephala",TRUE,FALSE,NA,"Sedentary","local dispersal","Omnivore","Omnivore","Insessorial","ground",8,"LC","not listed","not listed","south_west",1558,593,TRUE,0.221106421806309,0.249880855802392,165,"14 Jun",0,FALSE,NA,NA,NA,NA,FALSE,1.06694458551376,0.0393809551107775,FALSE,334105,0.241742804074233,"2026-07-03"
"Welcome Swallow","Hirundo neoxena","u357b","Hirundo neoxena neoxena",TRUE,FALSE,NA,"Migratory","local dispersal;partial migrant","Invertivore","Carnivore","Aerial","understory",7,"LC","not listed","not listed","statewide",324753,112796,TRUE,0.265166288464548,0.308111048174975,110,"20 Apr",0,FALSE,NA,NA,NA,NA,FALSE,2.25853118348996,0.0368083272948912,FALSE,334051,0.153345884280666,"2026-07-03"
"Welcome Swallow","Hirundo neoxena","u357b","Hirundo neoxena neoxena",TRUE,FALSE,NA,"Migratory","local dispersal;partial migrant","Invertivore","Carnivore","Aerial","understory",7,"LC","not listed","not listed","central_west",3971,1459,TRUE,0.26571870538218,0.308863088609322,111,"21 Apr",0,FALSE,NA,NA,NA,NA,FALSE,2.8404210946555,0.0295072895544845,FALSE,334051,0.153345884280666,"2026-07-03"
"Welcome Swallow","Hirundo neoxena","u357b","Hirundo neoxena neoxena",TRUE,FALSE,NA,"Migratory","local dispersal;partial migrant","Invertivore","Carnivore","Aerial","understory",7,"LC","not listed","not listed","new_england",3777,1500,TRUE,0.284296304491319,0.334489030762469,108,"18 Apr",0,FALSE,NA,NA,NA,NA,FALSE,2.84076922201466,0.0371340673144477,FALSE,334051,0.153345884280666,"2026-07-03"
"Welcome Swallow","Hirundo neoxena","u357b","Hirundo neoxena neoxena",TRUE,FALSE,NA,"Migratory","local dispersal;partial migrant","Invertivore","Carnivore","Aerial","understory",7,"LC","not listed","not listed","south_west",1550,477,TRUE,0.267345367050385,0.311080857367131,110,"20 Apr",0,FALSE,NA,NA,NA,NA,FALSE,3.13320186417633,0.0377225394386637,FALSE,334051,0.153345884280666,"2026-07-03"
"Australian Raven","Corvus coronoides","u930a","Corvus coronoides coronoides",TRUE,FALSE,NA,"Sedentary","local dispersal","Omnivore","Omnivore","Generalist","ground",5,"LC","not listed","not listed","statewide",324799,92315,TRUE,0.251089235783534,0.289135442460548,155,"04 Jun",0,FALSE,NA,NA,NA,NA,FALSE,1.46374626567398,0.032314411695454,FALSE,334105,0.278510789775354,"2026-07-03"
"Australian Raven","Corvus coronoides","u930a","Corvus coronoides coronoides",TRUE,FALSE,NA,"Sedentary","local dispersal","Omnivore","Omnivore","Generalist","ground",5,"LC","not listed","not listed","central_west",3968,1483,TRUE,0.250795072141205,0.288742730939448,156,"05 Jun",0,FALSE,NA,NA,NA,NA,FALSE,1.44176881209441,0.0255013836337072,FALSE,334105,0.278510789775354,"2026-07-03"
