"common_name","n_detections","mean_count","median_count","max_count","reporting_rate","n_checklists","category"
"Blue-breasted Quail",580,2.521,2,40,0.0799,725476,"rare (<0.1%)"
"Australian Pratincole",577,7.529,3,100,0.0795,725476,"rare (<0.1%)"
"Southern Scrub-Robin",572,2.311,2,15,0.0788,725476,"rare (<0.1%)"
"Pale-vented Bush-hen",560,1.343,1,6,0.0772,725476,"rare (<0.1%)"
"Barking Owl",558,1.742,1,5,0.0769,725476,"rare (<0.1%)"
"Common Sandpiper",535,1.06,1,4,0.0737,725476,"rare (<0.1%)"
"White-browed Treecreeper",524,1.7,1,6,0.0722,725476,"rare (<0.1%)"
"Pomarine Jaeger",517,2.857,1,138,0.0713,725476,"rare (<0.1%)"
"Black Bittern",515,1.146,1,4,0.071,725476,"rare (<0.1%)"
"Black-bellied Plover",513,1.405,1,15,0.0707,725476,"rare (<0.1%)"
"Australian Painted-Snipe",502,2.584,2,25,0.0692,725476,"rare (<0.1%)"
"White-winged Tern",502,3.04,1,30,0.0692,725476,"rare (<0.1%)"
"Gray-fronted Honeyeater",500,3.7,3,30,0.0689,725476,"rare (<0.1%)"
"Terek Sandpiper",490,2.933,1,125,0.0675,725476,"rare (<0.1%)"
"Little Buttonquail",489,2.11,1,42,0.0674,725476,"rare (<0.1%)"
"Pectoral Sandpiper",488,1.48,1,5,0.0673,725476,"rare (<0.1%)"
"Torresian Kingfisher",468,1.756,1,15,0.0645,725476,"rare (<0.1%)"
"Helmeted Guineafowl",466,4.18,3,31,0.0642,725476,"rare (<0.1%)"
"Blue-billed White-Tern",459,11.813,6,120,0.0633,725476,"rare (<0.1%)"
"Pacific Gull",451,1.439,1,21,0.0622,725476,"rare (<0.1%)"
"Australian Fairy Tern",441,2.34,2,20,0.0608,725476,"rare (<0.1%)"
"Accipitrine hawk sp. (former Accipiter sp.)",421,1.057,1,3,0.058,725476,"rare (<0.1%)"
"Black Noddy",414,11.039,2,300,0.0571,725476,"rare (<0.1%)"
"Aleutian Tern",397,5.189,4,18,0.0547,725476,"rare (<0.1%)"
"Flesh-footed Shearwater",396,34.298,3,4000,0.0546,725476,"rare (<0.1%)"
"Little Bronze-Cuckoo",391,1.105,1,3,0.0539,725476,"rare (<0.1%)"
"Red-tailed Tropicbird",382,19.11,5,275,0.0527,725476,"rare (<0.1%)"
"Red Junglefowl",381,2.402,2,17,0.0525,725476,"rare (<0.1%)"
"Masked Booby",361,39.247,5,1000,0.0498,725476,"rare (<0.1%)"
"Barred Cuckooshrike",315,2.384,2,18,0.0434,725476,"rare (<0.1%)"
"Ground Cuckooshrike",300,2.917,3,12,0.0414,725476,"rare (<0.1%)"
"Mangrove Honeyeater",300,2.53,2,20,0.0414,725476,"rare (<0.1%)"
"Sooty Shearwater",294,7.381,2,1300,0.0405,725476,"rare (<0.1%)"
"Black-winged Petrel",282,6.989,4,100,0.0389,725476,"rare (<0.1%)"
"Indian Yellow-nosed Albatross",266,3.996,2,50,0.0367,725476,"rare (<0.1%)"
"Regent Parrot",246,10.89,6,100,0.0339,725476,"rare (<0.1%)"
"Spotted Nightjar",243,1.292,1,4,0.0335,725476,"rare (<0.1%)"
"Chestnut-breasted Quail-thrush",240,2.1,2,7,0.0331,725476,"rare (<0.1%)"
"Hudsonian Godwit",233,1,1,1,0.0321,725476,"rare (<0.1%)"
"Superb Fruit-Dove",226,1.336,1,7,0.0312,725476,"rare (<0.1%)"
"Little Penguin",222,3.351,1,50,0.0306,725476,"rare (<0.1%)"
"Hutton's Shearwater",216,37.148,2,1500,0.0298,725476,"rare (<0.1%)"
"Little Woodswallow",216,2.685,2,20,0.0298,725476,"rare (<0.1%)"
"Red-browed Pardalote",215,1.572,1,5,0.0296,725476,"rare (<0.1%)"
"Cinnamon Quail-thrush",207,2.092,2,8,0.0285,725476,"rare (<0.1%)"
"Australasian Grass-Owl",198,1.323,1,3,0.0273,725476,"rare (<0.1%)"
"Brown Skua",193,1.596,1,9,0.0266,725476,"rare (<0.1%)"
"Black-breasted Kite",184,1.386,1,3,0.0254,725476,"rare (<0.1%)"
"Black-faced Cormorant",183,6.404,3,32,0.0252,725476,"rare (<0.1%)"
"Marbled Frogmouth",183,2.082,2,6,0.0252,725476,"rare (<0.1%)"
"Gray Noddy",181,4.829,3,75,0.0249,725476,"rare (<0.1%)"
"European Greenfinch",175,2.514,2,46,0.0241,725476,"rare (<0.1%)"
"Flock Bronzewing",175,55.52,7,1500,0.0241,725476,"rare (<0.1%)"
"Inland Dotterel",174,7.592,2,80,0.024,725476,"rare (<0.1%)"
"Radjah Shelduck",168,2.494,2,5,0.0232,725476,"rare (<0.1%)"
"Gray-faced Petrel",167,14.713,3,450,0.023,725476,"rare (<0.1%)"
"Rose-ringed Parakeet",166,2.018,1,7,0.0229,725476,"rare (<0.1%)"
"South Island Oystercatcher",166,1,1,1,0.0229,725476,"rare (<0.1%)"
"Common Ostrich",161,4.807,4,14,0.0222,725476,"rare (<0.1%)"
"Striated Fieldwren",158,1.949,2,6,0.0218,725476,"rare (<0.1%)"
"Eastern Yellow Wagtail",152,1.849,2,7,0.021,725476,"rare (<0.1%)"
"Rufous Fieldwren",144,1.681,1,8,0.0198,725476,"rare (<0.1%)"
"Little Curlew",130,7.085,1,90,0.0179,725476,"rare (<0.1%)"
"Banded Stilt",126,5.024,1,300,0.0174,725476,"rare (<0.1%)"
"Blue-winged Parrot",126,11.222,2,80,0.0174,725476,"rare (<0.1%)"
"Buff-breasted Sandpiper",126,1,1,1,0.0174,725476,"rare (<0.1%)"
"Fairy Prion",126,176.492,3,20000,0.0174,725476,"rare (<0.1%)"
"Asian Dowitcher",124,1,1,1,0.0171,725476,"rare (<0.1%)"
"Ruff",122,1.033,1,2,0.0168,725476,"rare (<0.1%)"
"Gull-billed Tern",119,1.008,1,2,0.0164,725476,"rare (<0.1%)"
"Australian Bustard",118,1.958,1,9,0.0163,725476,"rare (<0.1%)"
"Dusky Myzomela",114,1.526,1,4,0.0157,725476,"rare (<0.1%)"
"Red-lored Whistler",112,1.58,1,4,0.0154,725476,"rare (<0.1%)"
"Red-backed Buttonquail",111,1.64,1,5,0.0153,725476,"rare (<0.1%)"
"Streaked Shearwater",109,1.89,1,20,0.015,725476,"rare (<0.1%)"
"Hall's Babbler",107,4.673,4,13,0.0147,725476,"rare (<0.1%)"
"Song Thrush",105,1.495,1,4,0.0145,725476,"rare (<0.1%)"
"Kentish Plover",102,1,1,1,0.0141,725476,"rare (<0.1%)"
"Red-chested Buttonquail",102,2.676,1,25,0.0141,725476,"rare (<0.1%)"
"Broad-billed Sandpiper",100,1.47,1,6,0.0138,725476,"rare (<0.1%)"
"Northern Giant-Petrel",98,1.398,1,5,0.0135,725476,"rare (<0.1%)"
"Paradise Shelduck",91,1,1,1,0.0125,725476,"rare (<0.1%)"
"Oriental Cuckoo",90,1.067,1,4,0.0124,725476,"rare (<0.1%)"
"Providence Petrel",87,631.184,3,10000,0.012,725476,"rare (<0.1%)"
"Striated Grasswren",84,1.976,2,5,0.0116,725476,"rare (<0.1%)"
"Shining Flycatcher",83,1.602,1,5,0.0114,725476,"rare (<0.1%)"
"Gibberbird",76,1.868,2,7,0.0105,725476,"rare (<0.1%)"
"Long-tailed Jaeger",76,3.211,1.5,40,0.0105,725476,"rare (<0.1%)"
"miner sp. (Manorina sp.)",76,3.184,2,30,0.0105,725476,"rare (<0.1%)"
"Alexandrine Parakeet",72,1.361,1,3,0.0099,725476,"rare (<0.1%)"
"Eurasian Tree Sparrow",69,2.565,2,12,0.0095,725476,"rare (<0.1%)"
"Cotton Pygmy-Goose",68,1.015,1,2,0.0094,725476,"rare (<0.1%)"
"Buller's Albatross",66,1.606,1,8,0.0091,725476,"rare (<0.1%)"
"White-rumped Sandpiper",64,1,1,1,0.0088,725476,"rare (<0.1%)"
"Purple-crowned Lorikeet",63,5.508,3,32,0.0087,725476,"rare (<0.1%)"
"Brown Booby",62,1.032,1,2,0.0085,725476,"rare (<0.1%)"
"Lesser Frigatebird",61,1.295,1,6,0.0084,725476,"rare (<0.1%)"
"Southern Giant-Petrel",58,1.138,1,3,0.008,725476,"rare (<0.1%)"
"Slaty-backed Thornbill",57,2.281,2,4,0.0079,725476,"rare (<0.1%)"
"Pink Robin",54,1.704,1.5,4,0.0074,725476,"rare (<0.1%)"
"Malleefowl",49,1.224,1,3,0.0068,725476,"rare (<0.1%)"
"Buller's Shearwater",45,2.022,1,15,0.0062,725476,"rare (<0.1%)"
"Banded Whiteface",36,3.083,2,8,0.005,725476,"rare (<0.1%)"
"Gray-headed Lapwing",35,1,1,1,0.0048,725476,"rare (<0.1%)"
"Long-toed Stint",34,1.176,1,4,0.0047,725476,"rare (<0.1%)"
"Eyrean Grasswren",30,2.067,2,5,0.0041,725476,"rare (<0.1%)"
"Little Shearwater",30,4.667,1.5,60,0.0041,725476,"rare (<0.1%)"
"Semipalmated Plover",29,1,1,1,0.004,725476,"rare (<0.1%)"
"Citrine Wagtail",28,1,1,1,0.0039,725476,"rare (<0.1%)"
"Gray Falcon",26,1.308,1,3,0.0036,725476,"rare (<0.1%)"
"Gray Grasswren",26,2.692,2,7,0.0036,725476,"rare (<0.1%)"
"Barn Swallow",25,1,1,1,0.0034,725476,"rare (<0.1%)"
"Little Stint",25,1,1,1,0.0034,725476,"rare (<0.1%)"
"Oriental Plover",21,5.143,6,10,0.0029,725476,"rare (<0.1%)"
"Red-necked Phalarope",18,1,1,1,0.0025,725476,"rare (<0.1%)"
"Letter-winged Kite",17,2.176,2,5,0.0023,725476,"rare (<0.1%)"
"White-necked Petrel",16,1.312,1,3,0.0022,725476,"rare (<0.1%)"
"Oriental Pratincole",15,1.067,1,2,0.0021,725476,"rare (<0.1%)"
"Torresian Imperial-Pigeon",15,1,1,1,0.0021,725476,"rare (<0.1%)"
"Wilson's Storm-Petrel",15,1.667,1,5,0.0021,725476,"rare (<0.1%)"
"Gould's Petrel",12,41.333,5.5,250,0.0017,725476,"rare (<0.1%)"
"White-chinned Petrel",12,1,1,1,0.0017,725476,"rare (<0.1%)"
"cuckoo sp. (Cuculidae sp.)",12,1.083,1,2,0.0017,725476,"rare (<0.1%)"
"Squatter Pigeon",11,1,1,1,0.0015,725476,"rare (<0.1%)"
"Antipodean Albatross",10,1,1,1,0.0014,725476,"rare (<0.1%)"
"Lesser Yellowlegs",10,1,1,1,0.0014,725476,"rare (<0.1%)"
"Common Diving-Petrel",9,3.333,1,11,0.0012,725476,"rare (<0.1%)"
"Papuan Eclectus",9,1,1,1,0.0012,725476,"rare (<0.1%)"
"Thick-billed Grasswren",9,2,2,3,0.0012,725476,"rare (<0.1%)"
"Arctic Tern",8,1.125,1,2,0.0011,725476,"rare (<0.1%)"
"Kermadec Petrel",8,1.25,1,2,0.0011,725476,"rare (<0.1%)"
"Great Frigatebird",7,1.286,1,2,0.001,725476,"rare (<0.1%)"
"Princess Parrot",7,1,1,1,0.001,725476,"rare (<0.1%)"
"Rosy-faced Lovebird",7,1.571,1,3,0.001,725476,"rare (<0.1%)"
"White-faced Storm-Petrel",7,6.571,2,30,0.001,725476,"rare (<0.1%)"
"African Collared-Dove",6,1,1,1,8e-04,725476,"rare (<0.1%)"
"Blue-and-yellow Macaw",6,3.333,2.5,6,8e-04,725476,"rare (<0.1%)"
"Roseate Tern",6,1.167,1,2,8e-04,725476,"rare (<0.1%)"
"Mandarin Duck",5,1,1,1,7e-04,725476,"rare (<0.1%)"
"Northern Shoveler",5,1,1,1,7e-04,725476,"rare (<0.1%)"
"White-bellied Storm-Petrel",5,4.2,1,13,7e-04,725476,"rare (<0.1%)"
"Red-and-green Macaw",4,1.5,1.5,2,6e-04,725476,"rare (<0.1%)"
"Snowy Albatross",4,1,1,1,6e-04,725476,"rare (<0.1%)"
"White-headed Petrel",4,1.25,1,2,6e-04,725476,"rare (<0.1%)"
"Canada Goose",3,3.333,4,4,4e-04,725476,"rare (<0.1%)"
"Cape Barren Goose",3,2.667,2,4,4e-04,725476,"rare (<0.1%)"
"Common Redshank",3,1,1,1,4e-04,725476,"rare (<0.1%)"
"Great Bowerbird",3,1,1,1,4e-04,725476,"rare (<0.1%)"
"Little Ringed Plover",3,1,1,1,4e-04,725476,"rare (<0.1%)"
"Painted Firetail",3,2,2,2,4e-04,725476,"rare (<0.1%)"
"Pied Heron",3,1,1,1,4e-04,725476,"rare (<0.1%)"
"Red-footed Booby",3,1,1,1,4e-04,725476,"rare (<0.1%)"
"White-tailed Tropicbird",3,1,1,1,4e-04,725476,"rare (<0.1%)"
"American Golden-Plover",2,1,1,1,3e-04,725476,"rare (<0.1%)"
"Bulwer's Petrel",2,1,1,1,3e-04,725476,"rare (<0.1%)"
"Gouldian Finch",2,1,1,1,3e-04,725476,"rare (<0.1%)"
"Mute Swan",2,1,1,1,3e-04,725476,"rare (<0.1%)"
"Northern Pintail",2,1,1,1,3e-04,725476,"rare (<0.1%)"
"Pintado Petrel",2,1.5,1.5,2,3e-04,725476,"rare (<0.1%)"
"Southern Fulmar",2,1,1,1,3e-04,725476,"rare (<0.1%)"
"White Wagtail",2,1,1,1,3e-04,725476,"rare (<0.1%)"
"Black-fronted Tern",1,1,1,1,1e-04,725476,"rare (<0.1%)"
"Black-headed Parrot",1,1,1,1,1e-04,725476,"rare (<0.1%)"
"Bridled Tern",1,1,1,1,1e-04,725476,"rare (<0.1%)"
"California Quail",1,1,1,1,1e-04,725476,"rare (<0.1%)"
"Garganey",1,1,1,1,1e-04,725476,"rare (<0.1%)"
"Golden Pheasant",1,1,1,1,1e-04,725476,"rare (<0.1%)"
"Gray Parrot",1,1,1,1,1e-04,725476,"rare (<0.1%)"
"Green Sandpiper",1,1,1,1,1e-04,725476,"rare (<0.1%)"
"House Crow",1,1,1,1,1e-04,725476,"rare (<0.1%)"
"Monk Parakeet",1,1,1,1,1e-04,725476,"rare (<0.1%)"
"Redpoll",1,1,1,1,1e-04,725476,"rare (<0.1%)"
"Ruddy Shelduck",1,3,3,3,1e-04,725476,"rare (<0.1%)"
"Scarlet-chested Parrot",1,3,3,3,1e-04,725476,"rare (<0.1%)"
"Westland Petrel",1,1,1,1,1e-04,725476,"rare (<0.1%)"
"Wild Turkey",1,1,1,1,1e-04,725476,"rare (<0.1%)"
"Yellow Canary",1,1,1,1,1e-04,725476,"rare (<0.1%)"
"Yellow Chat",1,2,2,2,1e-04,725476,"rare (<0.1%)"
"Yellow-collared Lovebird",1,1,1,1,1e-04,725476,"rare (<0.1%)"
